#,Name ,logM SMBB , low err logM , up err logM ,T SMBB , low err T, up err T, beta SMBB , low err beta , up err  , log like 
#, , M_sun , M_sun , M_sun , K , K , K , , , , 
#,1,2,3,4,5,6,7,8,9,10,11
1,HRS1,6.31792,0.053527,0.058459,21.666903,1.391291,1.31326,1.817586,0.190452,0.210256,9.90408
2,HRS2,6.669047,0.035875,0.040843,22.984334,1.461095,1.428466,1.943392,0.185714,0.197669,7.47804
3,HRS3,6.393791,0.073718,0.069566,20.957056,1.595464,1.667642,1.8076,0.190172,0.211077,9.50157
4,HRS4,7.713161,0.021915,0.023076,20.539273,0.632804,0.687441,1.997603,0.091036,0.085886,-1.04661
5,HRS5,7.020664,0.028659,0.029757,20.96538,0.890225,0.881913,2.054741,0.137443,0.133064,4.41243
6,HRS6,6.938676,0.107093,0.118284,17.660535,1.829579,2.014224,1.196837,0.289948,0.300245,7.11432
7,HRS7,6.613294,0.025556,0.024543,24.044257,1.020734,1.135357,2.042806,0.119109,0.118893,9.02176
8,HRS8,7.645465,0.055813,0.076318,19.460817,1.621406,1.459197,1.256003,0.201462,0.223458,1.1072
9,HRS9,6.926814,0.049995,0.049925,20.57667,1.259477,1.230032,2.030858,0.189855,0.211811,4.90556
10,HRS10,6.686044,0.063311,0.077214,23.025087,2.176193,2.064011,1.382716,0.213214,0.228974,8.95727
11,HRS11,7.26631,0.022163,0.024868,23.237556,0.793947,0.803116,1.522115,0.085709,0.080097,4.59944
12,HRS12,6.077049,0.04379,0.044176,27.009794,1.853253,2.007219,1.369945,0.189074,0.192716,13.53628
13,HRS13,7.938117,0.020393,0.02338,22.28027,0.689579,0.671752,1.793634,0.061217,0.065295,-1.03539
14,HRS14,6.002244,0.089987,0.087578,23.070029,1.557456,1.530295,1.823576,0.255122,0.268299,8.32791
15,HRS15,7.93712,0.042714,0.048861,20.682814,1.255468,1.182064,1.610105,0.172581,0.194714,-5.4455
16,HRS16,7.542173,0.03281,0.039403,20.289768,1.017593,0.981833,1.720728,0.13184,0.148058,0.30854
17,HRS17,7.513996,0.027199,0.030672,23.133621,0.915692,0.930904,1.567627,0.098409,0.100898,0.4502
18,HRS18,6.992219,0.044216,0.047714,20.831682,1.12031,1.182072,1.805546,0.165603,0.16747,7.16466
19,HRS19,7.315478,0.036111,0.040154,23.645989,1.255038,1.228923,1.487536,0.145291,0.136814,3.53515
20,HRS20,7.587048,0.030476,0.029477,25.468148,1.131435,1.204037,1.663242,0.079113,0.087278,1.08584
21,HRS21,6.587755,0.075927,0.081939,21.189047,1.535081,1.673502,1.361056,0.208283,0.203525,7.43426
22,HRS22,6.537548,0.087002,0.081404,21.458657,1.338319,1.446244,1.595373,0.22677,0.241598,8.6169
23,HRS23,7.687511,0.020877,0.022944,23.528326,0.770241,0.763429,1.807744,0.070408,0.075097,0.61835
24,HRS24,7.847543,0.032339,0.033831,21.703297,1.009621,1.089099,1.665971,0.124259,0.129993,-1.36186
25,HRS25,7.472629,0.022283,0.023568,25.272967,0.873675,0.903687,1.756428,0.072018,0.073166,0.32604
26,HRS26,6.673331,0.047719,0.049077,22.390025,1.351375,1.513166,1.426942,0.190868,0.189516,10.46349
27,HRS27,6.954133,0.032595,0.0363,23.673207,1.326917,1.395949,1.933249,0.152718,0.174789,7.12632
28,HRS28,7.133934,0.026583,0.028876,21.695301,0.925858,1.029709,1.768702,0.132947,0.1337,5.65472
29,HRS29,6.953144,0.040314,0.040319,20.534541,1.004824,1.053466,1.704583,0.176777,0.188372,3.90742
30,HRS30,7.001861,0.050187,0.049541,23.228602,1.465777,1.514742,1.310733,0.175974,0.181266,3.14761
31,HRS31,7.423418,0.043614,0.041202,25.25606,1.399062,1.5135,1.511281,0.154549,0.151254,-1.15229
32,HRS32,5.772716,0.181778,0.173211,21.819177,2.051434,2.049803,1.523948,0.29468,0.313105,4.96431
33,HRS33,7.338725,0.027408,0.030319,22.678307,1.040091,1.115251,1.612997,0.140465,0.138457,3.25758
34,HRS34,7.391322,0.036185,0.035951,21.752716,1.105378,1.135915,1.424694,0.130745,0.147214,1.12286
35,HRS35,6.114376,0.083656,0.084639,21.574015,1.524983,1.804755,1.722636,0.269542,0.249292,9.31917
36,HRS36,7.735182,0.023621,0.023252,25.291245,0.914845,0.979505,1.909655,0.081964,0.08203,-1.74567
37,HRS37,7.102875,0.028953,0.031171,22.771316,1.064616,1.05632,1.803415,0.128432,0.139853,4.38276
38,HRS38,7.003113,0.036405,0.041458,22.504592,1.168097,1.199997,1.292364,0.135397,0.144121,6.3522
39,HRS39,6.967941,0.059567,0.060927,20.794695,1.431158,1.468896,1.424768,0.202633,0.197336,7.28229
40,HRS40,7.080445,0.027234,0.027603,24.539177,1.113286,1.094623,1.706874,0.121012,0.1212,5.69837
41,HRS41,6.873905,0.049156,0.054105,21.107849,1.385494,1.423199,1.494509,0.156089,0.171664,7.76866
42,HRS42,7.660187,0.038388,0.041682,22.158757,1.222194,1.183611,1.571585,0.147566,0.159488,-3.7073
44,HRS44,6.509692,0.042445,0.039768,26.992888,1.605237,1.933106,1.373513,0.164959,0.153823,7.53902
45,HRS45,7.237623,0.047134,0.050413,19.535563,1.199787,1.13446,1.815101,0.187933,0.194446,4.33943
46,HRS46,7.029704,0.026583,0.025684,23.076003,0.937076,0.964711,2.007406,0.117413,0.121407,5.89758
47,HRS47,7.13637,0.050832,0.054613,23.669838,1.562265,1.652067,1.355171,0.181246,0.185837,3.84438
48,HRS48,7.914312,0.033941,0.031164,21.863012,1.026802,1.050576,1.757566,0.144197,0.157332,-6.89332
50,HRS50,7.657197,0.019451,0.019801,22.423268,0.645571,0.65662,2.147379,0.066407,0.070174,0.85864
51,HRS51,7.160929,0.034399,0.036309,24.452725,1.192479,1.218701,1.346714,0.118418,0.119192,3.45122
52,HRS52,6.465986,0.067749,0.078481,21.601225,1.567777,1.529278,1.754587,0.22288,0.239161,7.35825
53,HRS53,7.329544,0.02965,0.031525,23.411163,1.016173,1.047261,1.438468,0.114595,0.102774,0.66548
54,HRS54,7.080759,0.044533,0.045694,20.430089,1.186693,1.202811,1.762201,0.169873,0.176425,3.57733
55,HRS55,7.414944,0.028557,0.031913,21.61138,1.018385,0.910875,1.712912,0.120432,0.135494,0.41304
56,HRS56,7.899591,0.019448,0.019559,22.741132,0.634567,0.678108,2.114861,0.061628,0.059317,-0.60156
57,HRS57,7.634658,0.026477,0.027837,20.740244,0.79609,0.782383,1.861558,0.099306,0.108951,-0.95985
58,HRS58,6.694763,0.023964,0.02656,21.897992,0.885977,0.903264,1.662631,0.124007,0.132754,6.3935
59,HRS59,7.60508,0.037639,0.040238,20.730839,1.012361,1.079156,1.598635,0.156945,0.154112,2.73436
60,HRS60,7.312002,0.031136,0.032478,20.651888,0.906009,0.925538,1.920821,0.111107,0.119148,1.40895
61,HRS61,6.518965,0.052569,0.056169,23.345056,1.720997,1.749709,1.216308,0.200361,0.222764,9.30226
62,HRS62,7.325945,0.046692,0.049967,23.381377,1.542673,1.606756,1.164816,0.174408,0.162317,3.37035
63,HRS63,7.722243,0.038216,0.042815,20.101499,1.065075,1.094712,1.617638,0.145464,0.152003,-1.38828
64,HRS64,6.942268,0.056842,0.059812,20.31696,1.371665,1.387303,1.433832,0.172169,0.188068,5.79498
65,HRS65,7.005645,0.055838,0.064815,23.526739,1.808429,1.784831,1.192663,0.201712,0.197742,4.42884
66,HRS66,7.717487,0.01781,0.018812,23.307841,0.639023,0.613345,1.935386,0.052303,0.050379,1.18335
67,HRS67,6.899549,0.062118,0.068466,22.639347,1.827933,1.874217,1.12976,0.230767,0.230429,6.61023
68,HRS68,6.296974,0.0271,0.025138,25.721229,1.068658,1.104817,1.829883,0.096956,0.092566,12.72429
69,HRS69,7.394846,0.059884,0.070866,18.868421,1.239249,1.1712,1.619033,0.216722,0.235974,-1.04542
70,HRS70,6.974991,0.036565,0.039594,22.999283,1.318579,1.355563,1.509622,0.153468,0.158564,7.96811
71,HRS71,7.475462,0.178335,0.209486,17.923911,1.316173,1.205144,1.669591,0.311571,0.284954,-0.98473
72,HRS72,6.715894,0.055555,0.055237,25.890368,1.773866,1.82842,1.603699,0.203153,0.213002,5.77524
73,HRS73,8.187021,0.033132,0.032612,18.191963,0.729844,0.753183,2.016236,0.139865,0.142429,-7.34567
74,HRS74,7.339211,0.027229,0.02936,23.949963,1.051781,1.104606,1.790198,0.128974,0.127,-1.01294
75,HRS75,6.523329,0.095671,0.100108,19.435556,1.773365,1.88809,1.305299,0.257325,0.267027,9.34776
76,HRS76,6.513413,0.060325,0.061893,21.494532,1.574917,1.503364,1.40131,0.187054,0.200951,8.86818
77,HRS77,8.335666,0.019876,0.022381,21.084074,0.656551,0.637207,2.027389,0.076493,0.083506,-6.36415
78,HRS78,6.974074,0.051526,0.0528,23.31352,1.579514,1.692303,1.282595,0.197776,0.209174,4.55807
79,HRS79,6.811901,0.06986,0.069666,23.335243,1.853007,1.942163,1.287571,0.237177,0.250756,5.80394
80,HRS80,7.13532,0.074394,0.084256,19.584974,1.584161,1.530311,1.599819,0.228485,0.248262,2.48009
81,HRS81,7.507219,0.025324,0.025592,22.847566,0.774058,0.826601,1.789796,0.088366,0.083395,0.22117
82,HRS82,6.480375,0.049591,0.050697,24.42074,1.662512,1.7687,1.623287,0.190704,0.203996,7.36678
83,HRS83,6.300103,0.073526,0.070415,24.914169,2.269586,2.380006,1.109681,0.221424,0.248302,10.15654
84,HRS84,6.779208,0.027341,0.031749,20.891633,0.870431,0.935169,1.892698,0.129628,0.129475,9.15283
85,HRS85,7.716629,0.025636,0.028173,22.644363,0.946215,0.883162,1.667874,0.096733,0.104647,-3.68365
86,HRS86,7.430454,0.043412,0.048244,23.570489,1.437824,1.487581,1.205748,0.128105,0.129256,-0.28306
87,HRS87,6.573426,0.055906,0.057568,21.466559,1.196499,1.197482,1.941943,0.20128,0.209097,5.95672
88,HRS88,7.567225,0.04825,0.049931,23.617253,1.499355,1.611765,1.408822,0.164742,0.163686,-3.27581
89,HRS89,7.742715,0.028858,0.033574,23.205915,1.037473,0.980354,1.121687,0.09365,0.086513,-1.75134
91,HRS91,8.180912,0.031956,0.032523,19.964764,0.924459,0.924448,1.767665,0.14183,0.148539,-6.71218
92,HRS92,6.948886,0.039276,0.042126,20.451755,1.068554,1.035801,1.618303,0.163032,0.168797,6.19834
93,HRS93,6.785927,0.052973,0.05583,20.739595,1.230347,1.232499,1.829853,0.200609,0.225389,4.01669
94,HRS94,7.472907,0.03673,0.041716,20.573053,1.033694,1.113326,1.202155,0.142684,0.141226,3.24632
95,HRS95,7.050176,0.023151,0.021918,22.383563,0.763215,0.772134,2.116426,0.086654,0.093369,5.80138
96,HRS96,7.705856,0.021425,0.022564,21.336018,0.744775,0.701261,1.971515,0.091641,0.100386,-1.72261
97,HRS97,8.18668,0.022751,0.023927,17.925233,0.552483,0.534813,1.91961,0.096922,0.095812,-5.10266
98,HRS98,7.311595,0.030079,0.031435,21.24136,0.990302,0.934293,1.369707,0.11746,0.127867,4.60361
99,HRS99,6.391019,0.030857,0.032186,21.00941,1.012236,1.066123,2.093771,0.157862,0.167329,12.09799
100,HRS100,7.491351,0.019201,0.02022,19.607415,0.567697,0.576834,2.227574,0.080957,0.080799,3.83918
102,HRS102,8.385228,0.023583,0.023054,21.291357,0.794611,0.786074,2.040598,0.110894,0.122154,-10.04325
103,HRS103,6.956584,0.044149,0.049332,19.499665,1.157515,1.110284,1.725512,0.176642,0.202924,9.37006
106,HRS106,7.097458,0.051853,0.058152,22.285609,1.447037,1.491874,1.521541,0.197203,0.218027,3.4773
107,HRS107,6.757498,0.047125,0.044374,20.584757,1.151196,1.233511,1.579583,0.194056,0.18482,8.21122
108,HRS108,6.642049,0.048474,0.047335,21.690546,1.298944,1.243069,1.956366,0.199192,0.190499,9.51054
109,HRS109,7.129872,0.043102,0.044344,21.505832,1.19707,1.280937,1.376095,0.144357,0.146386,5.55525
110,HRS110,7.255735,0.032347,0.031483,24.07967,1.129192,1.267006,1.362673,0.135984,0.13284,2.20921
111,HRS111,7.760055,0.018572,0.018598,19.472755,0.468071,0.493563,2.106163,0.061454,0.058082,2.23113
112,HRS112,6.724677,0.053074,0.051693,21.580891,1.252376,1.302801,1.749457,0.18239,0.192358,9.47561
113,HRS113,8.034222,0.019907,0.020574,18.741839,0.478152,0.471711,2.003019,0.063288,0.066862,-0.38242
114,HRS114,8.312367,0.019856,0.020473,22.33084,0.717633,0.66174,1.893546,0.082735,0.090522,-10.00079
115,HRS115,6.429302,0.042259,0.042429,21.836841,1.11112,1.2654,1.758596,0.171864,0.168946,10.58532
117,HRS117,7.698725,0.0233,0.025163,17.60224,0.57994,0.527186,2.24098,0.11531,0.127968,1.50539
118,HRS118,6.652686,0.057102,0.062645,23.950097,1.786692,1.787213,1.269437,0.206666,0.211223,5.81988
119,HRS119,7.230428,0.035437,0.034665,20.035075,0.93174,0.89948,2.217681,0.168686,0.187337,0.86333
120,HRS120,7.313535,0.034795,0.038233,19.272247,0.979356,0.908296,2.03212,0.162873,0.179128,2.20661
121,HRS121,7.641987,0.021155,0.022655,19.864261,0.633732,0.616585,1.945132,0.087965,0.090986,5.1771
122,HRS122,8.503411,0.027413,0.027908,19.763775,0.821672,0.864036,2.039514,0.147135,0.154708,-11.94448
123,HRS123,7.032605,0.048462,0.049402,19.570814,1.142461,1.180656,1.746257,0.16574,0.185483,5.60314
124,HRS124,7.355967,0.041381,0.043256,19.289293,1.035375,1.062138,1.737191,0.185082,0.184666,1.37385
127,HRS127,7.520031,0.025043,0.02643,20.338454,0.74066,0.74143,1.847811,0.105524,0.102287,5.23381
128,HRS128,7.106427,0.046075,0.049668,18.605609,1.115462,1.134018,1.683055,0.194072,0.198319,9.40934
129,HRS129,5.958719,0.035707,0.040473,22.114129,1.282864,1.307079,2.323565,0.197204,0.21384,10.29255
130,HRS130,6.899998,0.039994,0.046289,21.008521,1.092989,1.250645,1.710242,0.175712,0.17514,5.60302
131,HRS131,6.842209,0.06892,0.076904,20.679968,1.578626,1.494989,1.791585,0.198171,0.222566,7.04291
132,HRS132,6.820189,0.051832,0.058939,25.271817,1.801368,2.063285,1.244493,0.197259,0.186386,7.35279
133,HRS133,7.307841,0.065271,0.077049,19.947785,1.653599,1.688745,1.029407,0.179444,0.181899,4.86187
134,HRS134,7.086967,0.04566,0.044773,20.10849,1.085834,1.135116,1.964462,0.181736,0.192098,5.99548
136,HRS136,7.158499,0.025602,0.02721,20.308031,0.806596,0.759125,2.176433,0.11994,0.130802,7.51861
139,HRS139,6.929004,0.041178,0.043089,24.324831,1.410585,1.567927,1.395386,0.174517,0.163306,7.15092
140,HRS140,7.369054,0.054785,0.05811,17.844775,1.039984,1.12912,1.733038,0.208868,0.23982,1.37827
141,HRS141,7.78558,0.032681,0.033414,17.684643,0.762645,0.778557,2.028688,0.165461,0.164181,2.31921
142,HRS142,7.142327,0.02526,0.025641,25.155097,1.011691,1.098577,1.822212,0.101855,0.105161,2.35799
143,HRS143,7.639247,0.028156,0.02906,22.718356,0.91101,0.924188,1.386965,0.096981,0.102714,2.90445
144,HRS144,7.445053,0.026849,0.025557,24.265466,1.010064,1.081227,1.770408,0.118491,0.114159,-0.58366
145,HRS145,7.247857,0.045033,0.046584,22.96459,1.373852,1.417567,1.311249,0.170043,0.171027,4.39897
146,HRS146,7.231605,0.032946,0.034581,21.560801,0.962867,1.03104,1.551413,0.129041,0.132076,6.73895
147,HRS147,7.242249,0.034919,0.03724,19.773682,0.913987,0.92188,1.539201,0.121758,0.122878,5.20109
148,HRS148,7.341531,0.039365,0.040744,23.017592,1.184006,1.298561,1.14578,0.123752,0.116773,2.17088
149,HRS149,7.805418,0.018544,0.018811,19.865516,0.514192,0.553178,2.09867,0.067464,0.070374,1.43312
151,HRS151,7.077571,0.042989,0.04835,21.050913,1.13466,1.291284,1.778929,0.175521,0.180832,2.8787
152,HRS152,6.947103,0.026929,0.027968,22.961145,1.092353,1.038808,2.024019,0.132562,0.154104,4.00942
153,HRS153,7.107733,0.037069,0.03662,20.659187,1.036126,1.018766,1.788068,0.143151,0.177989,4.25763
154,HRS154,7.426539,0.053367,0.058545,21.351384,1.485583,1.438224,1.253468,0.211471,0.21814,2.32821
156,HRS156,7.468614,0.024023,0.025384,21.984682,0.843386,0.857033,2.078156,0.101245,0.104462,0.97509
157,HRS157,7.205418,0.023391,0.024406,22.977224,0.82933,0.854818,1.719134,0.090347,0.100561,3.28313
158,HRS158,7.127544,0.065771,0.071637,22.246564,1.850243,2.075636,1.060155,0.260656,0.255005,5.40371
159,HRS159,7.169515,0.028407,0.030134,22.557083,1.041202,1.11165,2.166643,0.154146,0.157154,4.25392
160,HRS160,7.600014,0.038365,0.037809,20.244435,1.032397,1.090948,1.782908,0.147193,0.15355,2.01047
161,HRS161,6.737582,0.034584,0.036968,23.473409,1.23693,1.188246,1.850177,0.080055,0.090566,11.42602
162,HRS162,6.750634,0.051937,0.048982,22.168435,1.063309,1.173892,2.258515,0.171412,0.187676,3.11557
163,HRS163,7.580428,0.037195,0.039006,20.627616,1.002459,1.048001,1.93327,0.15107,0.172803,-1.71711
165,HRS165,6.812783,0.057426,0.059676,21.209731,1.316716,1.299061,1.673403,0.190355,0.189994,8.64312
167,HRS167,7.161166,0.033793,0.035902,17.995441,0.884479,0.853431,2.194935,0.171704,0.192371,7.59285
168,HRS168,6.685118,0.047938,0.048447,24.679495,1.499335,1.705555,1.260667,0.176631,0.198228,9.75395
169,HRS169,7.072762,0.046534,0.045553,22.119124,1.490403,1.374136,1.5236,0.182492,0.208593,6.29763
170,HRS170,7.71699,0.060153,0.060192,19.019364,1.153903,1.181829,1.838657,0.201012,0.223002,-5.53343
171,HRS171,7.163874,0.025968,0.02765,21.712937,0.855925,0.874309,2.102255,0.12856,0.130123,6.13234
172,HRS172,7.06053,0.03894,0.041297,20.194981,1.030456,0.995558,2.096891,0.151537,0.174553,3.22133
173,HRS173,7.233415,0.027607,0.028599,21.860223,0.960083,0.964762,2.109384,0.126333,0.13836,2.27718
174,HRS174,6.569105,0.020575,0.021441,25.501733,0.807972,0.792165,1.94823,0.053954,0.055892,12.26368
176,HRS176,7.219613,0.029452,0.032228,20.200343,0.966906,0.994802,2.125848,0.15256,0.150728,6.61607
177,HRS177,6.94091,0.023298,0.023427,23.407499,0.918409,0.903035,1.753134,0.107421,0.119169,5.82218
180,HRS180,6.134129,0.062795,0.060975,22.716119,1.442452,1.378174,2.214148,0.219886,0.25754,6.11134
182,HRS182,7.152434,0.026357,0.02561,22.636315,0.885746,0.891209,1.545879,0.103485,0.108584,4.56635
184,HRS184,6.357257,0.056258,0.052755,23.459721,1.309329,1.355146,2.237427,0.178321,0.198638,6.71799
185,HRS185,6.899001,0.050525,0.056985,19.260363,1.185896,1.205341,1.798692,0.215365,0.234915,5.50276
186,HRS186,5.521194,0.100406,0.098961,24.475392,1.50875,1.457762,2.138292,0.228446,0.284447,7.02899
187,HRS187,7.611911,0.039889,0.042453,23.074082,1.203224,1.286752,1.41041,0.150615,0.155045,-3.71656
188,HRS188,7.311251,0.033081,0.036482,21.909205,1.029039,1.081115,1.473612,0.126823,0.133976,2.5656
189,HRS189,6.843195,0.038709,0.038144,22.626771,1.315045,1.295598,1.579416,0.137911,0.169029,6.21685
190,HRS190,8.430515,0.02404,0.024761,19.961109,0.714793,0.730525,2.01592,0.111281,0.108214,-9.55321
191,HRS191,6.256663,0.067503,0.075588,24.111032,2.05883,2.022724,1.300852,0.258192,0.287031,8.6665
192,HRS192,6.170961,0.052505,0.05328,20.946233,1.203058,1.300748,1.819403,0.20314,0.228618,12.54529
193,HRS193,7.022308,0.037002,0.0387,23.618518,1.226729,1.393822,1.350593,0.146496,0.145305,4.42291
194,HRS194,8.349544,0.026568,0.027781,20.792412,0.768564,0.801609,1.316472,0.094985,0.10622,-6.22932
196,HRS196,7.343888,0.038342,0.039292,24.169823,1.33746,1.412313,1.420547,0.150496,0.165654,-0.06404
197,HRS197,7.192942,0.026526,0.02839,22.372473,0.9082,0.913107,1.581777,0.115248,0.114856,3.60762
198,HRS198,7.144739,0.059227,0.068139,18.925165,1.372593,1.402748,1.467176,0.173257,0.188297,4.77212
199,HRS199,6.626899,0.090634,0.087625,21.13142,1.598161,1.633867,1.751569,0.22552,0.229668,5.39291
200,HRS200,7.42386,0.020392,0.021119,22.011445,0.645731,0.672798,2.089923,0.069352,0.06743,3.03998
201,HRS201,8.238952,0.018634,0.020179,22.505391,0.608281,0.617635,1.823386,0.055503,0.056062,-6.1349
203,HRS203,7.357553,0.024419,0.023081,26.138181,0.989888,1.051703,1.486317,0.085789,0.088456,1.09433
204,HRS204,8.300151,0.029077,0.030652,19.33486,0.844327,0.837657,1.890381,0.144954,0.146125,-8.33314
205,HRS205,7.990742,0.028228,0.027032,25.776285,1.011804,1.145214,1.430249,0.090152,0.089145,-5.88766
206,HRS206,6.798492,0.048122,0.048071,21.769147,1.166959,1.293157,1.864723,0.166472,0.169656,5.55024
207,HRS207,7.279099,0.027966,0.027316,20.316813,0.775628,0.833094,1.939418,0.121103,0.120629,4.12606
208,HRS208,8.018895,0.046516,0.055889,18.137068,1.050791,0.939108,1.921832,0.200481,0.188683,-4.7622
209,HRS209,6.414323,0.123912,0.115642,20.545046,1.539658,1.522699,1.452809,0.269996,0.266665,5.07879
210,HRS210,5.31137,0.064848,0.079209,24.953191,1.541786,1.538821,2.233444,0.27325,0.274483,6.82582
212,HRS212,6.950064,0.049242,0.046919,24.963306,1.605785,1.705052,1.265934,0.171512,0.179634,5.31698
213,HRS213,8.638315,0.022402,0.023747,20.151695,0.619568,0.614474,1.497491,0.074791,0.073577,-9.76843
215,HRS215,7.600135,0.01871,0.0173,20.966271,0.508879,0.535941,1.994058,0.056372,0.059819,1.88349
216,HRS216,7.996096,0.013873,0.015104,22.453676,0.451671,0.431243,1.975234,0.033599,0.035193,-2.67927
217,HRS217,8.004058,0.030739,0.031069,19.75306,0.845939,0.918485,2.128642,0.150011,0.154394,-5.65727
220,HRS220,8.048849,0.042417,0.044591,19.161522,0.97897,0.956715,2.078784,0.187792,0.183589,-7.85853
221,HRS221,7.28623,0.023993,0.025085,20.077264,0.733626,0.7215,1.960882,0.107001,0.111255,4.90737
222,HRS222,6.350601,0.069488,0.079273,21.583257,1.427336,1.378796,1.865059,0.221107,0.24064,7.04373
223,HRS223,6.547764,0.094372,0.097409,20.198804,1.761538,1.763402,1.374802,0.237395,0.249419,7.43909
224,HRS224,7.09207,0.056404,0.061107,19.4413,1.162472,1.193038,1.765536,0.202178,0.227081,2.86456
225,HRS225,5.593573,0.167128,0.168768,22.86931,1.898762,1.960033,1.696096,0.29888,0.328383,5.14472
226,HRS226,6.820151,0.038836,0.036604,21.254727,1.12327,1.241107,1.703252,0.165927,0.164255,7.93961
227,HRS227,7.272841,0.045651,0.050575,25.324675,1.762432,1.918654,0.894496,0.17585,0.164338,0.97016
230,HRS230,6.989672,0.035855,0.036178,22.876561,1.163095,1.181941,1.581492,0.142051,0.148422,4.46343
231,HRS231,5.977445,0.036193,0.035525,23.573128,1.237921,1.231211,2.180438,0.182619,0.204411,9.3059
232,HRS232,6.772377,0.041765,0.041582,21.318513,1.223792,1.158519,1.997787,0.173162,0.194354,6.1291
233,HRS233,7.344088,0.032053,0.031217,20.68863,0.93134,0.956605,2.039058,0.136002,0.152286,1.48369
237,HRS237,7.13738,0.039483,0.041531,22.564986,1.319358,1.270664,1.739907,0.153711,0.177153,2.028
238,HRS238,6.206651,0.084942,0.085927,22.237701,1.55437,1.623419,1.587611,0.22609,0.256544,7.95025
239,HRS239,7.396585,0.023498,0.024567,22.284856,0.765755,0.788523,1.89798,0.082673,0.08566,1.55251
242,HRS242,7.258488,0.036042,0.036134,23.300318,1.15791,1.133475,1.475227,0.142562,0.148875,0.1899
243,HRS243,7.382617,0.064543,0.077447,18.372972,1.392733,1.308718,1.690152,0.205112,0.228868,1.75802
244,HRS244,7.692645,0.021699,0.02092,20.406015,0.62054,0.642884,2.087797,0.082133,0.08222,1.16118
246,HRS246,7.738063,0.026954,0.031063,22.319918,0.948669,1.007716,1.637572,0.114141,0.122946,-2.84419
247,HRS247,8.0721,0.021478,0.022284,22.203904,0.678082,0.730262,1.719831,0.07225,0.07613,-5.24274
249,HRS249,5.904052,0.171482,0.172712,21.20478,2.246066,2.210759,1.192024,0.289107,0.315047,10.54842
251,HRS251,8.43584,0.015494,0.016238,23.140438,0.508623,0.495295,1.924194,0.036105,0.037756,-6.87172
252,HRS252,7.085586,0.058902,0.069044,23.629109,1.954546,2.007479,1.154158,0.197364,0.200559,4.80687
253,HRS253,6.146009,0.0321,0.0314,24.440303,1.324913,1.391897,2.542671,0.161095,0.17258,11.66442
254,HRS254,7.790086,0.050508,0.057698,19.153067,1.140014,1.124808,1.964392,0.199401,0.197376,-5.29309
255,HRS255,7.179789,0.074037,0.082726,22.347257,2.045017,1.827612,1.146885,0.232953,0.243328,1.51008
256,HRS256,7.210544,0.02166,0.023194,25.849988,0.868714,0.912349,1.932067,0.065913,0.067572,1.2047
257,HRS257,7.637705,0.049624,0.058102,17.043659,1.008059,0.933296,1.724167,0.215809,0.230314,-1.07735
258,HRS258,5.772226,0.026063,0.03014,24.795649,1.198761,1.122123,2.415829,0.161989,0.167693,12.93662
259,HRS259,7.302225,0.0497,0.054215,24.113044,1.640523,1.726688,1.236942,0.178649,0.174938,-0.73349
260,HRS260,7.418849,0.020337,0.021901,22.544257,0.740138,0.760948,1.893409,0.08965,0.095301,2.22632
261,HRS261,7.169807,0.054851,0.059171,18.459787,1.141651,1.178302,1.623103,0.203559,0.21845,4.33851
262,HRS262,7.431624,0.033603,0.035493,23.555353,1.109337,1.22778,1.580672,0.124233,0.132681,-1.01059
263,HRS263,8.47296,0.047148,0.052482,17.062092,0.980168,0.941578,1.900554,0.241999,0.256153,-11.66417
264,HRS264,6.777151,0.059325,0.063273,20.49154,1.507579,1.577932,1.339984,0.186974,0.194773,8.5808
265,HRS265,6.750741,0.038961,0.043249,23.895334,1.442227,1.499234,1.726844,0.160434,0.170563,7.98774
266,HRS266,7.864409,0.056092,0.064586,22.072322,1.725106,1.623594,1.294677,0.214082,0.205441,-4.36838
267,HRS267,7.298667,0.052064,0.057614,20.69457,1.350358,1.350002,1.570451,0.156403,0.164427,2.14326
268,HRS268,7.356349,0.019925,0.021999,23.966775,0.716264,0.751619,1.662238,0.066159,0.065216,2.29853
270,HRS270,7.509735,0.051523,0.051519,20.309637,1.245278,1.262419,1.933665,0.175544,0.194633,-1.66826
271,HRS271,7.222239,0.042387,0.045225,21.258311,1.175095,1.26143,1.418513,0.153141,0.15845,3.96586
273,HRS273,7.479795,0.036998,0.046792,19.212202,1.042438,0.961088,1.752253,0.165786,0.172607,1.20508
