#JINGLE ID,H_BETA_FLUX,H_BETA_FLUX_ERR,H_ALPHA_FLUX,H_ALPHA_FLUX_ERR
0,72.465256,5.3884716,378.76602,9.436626
1,31.19525,2.2881546,146.82338,3.5562053
2,81.20423,2.9011521,258.55325,4.0392065
3,722.0455,8.78035,2783.378,22.460262
4,182.65155,4.3233137,955.5746,10.24416
5,162.70782,3.4529965,900.73706,7.6275353
6,40.832626,2.1232557,156.60423,2.8599346
7,131.43655,3.0384388,539.2187,6.151911
8,129.50888,4.426921,607.1368,7.199886
9,88.5239,2.9459138,322.59485,4.6928134
10,176.91753,4.7658076,1105.6305,9.4752445
11,52.713966,2.1072438,258.2677,3.571267
12,55.088562,2.1592882,180.69745,2.7886276
13,150.9692,3.767537,485.97296,5.7331967
14,448.97424,6.3265505,1618.9009,13.571391
15,412.50803,7.0241995,1573.3073,15.189987
16,53.309708,3.7028794,284.83466,6.269161
17,279.83527,4.514194,1060.3702,9.800267
18,128.07254,3.6538649,409.28845,5.1449723
19,91.87621,5.3840528,477.82343,9.731185
20,35.936176,3.5964742,187.717,6.1118026
21,96.02289,3.0950382,329.0796,4.0457788
22,59.097687,3.8488693,299.3857,7.2446876
23,135.60927,3.822779,615.0059,6.4474
24,97.115814,2.3659537,433.24496,4.0422916
25,197.10097,3.9539557,1227.572,11.0107565
26,691.50494,9.121331,2710.4949,21.341188
27,15.90351,3.896098,64.070946,5.661951
28,160.9692,4.0597415,739.32513,8.528751
29,259.34186,4.9839892,1243.3097,12.510189
30,213.21324,4.448831,959.28827,10.342561
31,299.92676,5.435497,1144.6578,11.144291
32,602.259,9.660599,2161.8064,21.03831
33,51.611298,2.7661314,281.61185,4.415406
34,233.00586,5.112558,1025.5865,11.127074
35,198.03233,5.6408443,819.8693,10.41708
36,133.81381,3.605442,517.94073,6.0660152
37,528.84564,7.9809384,3182.965,24.73525
38,546.6292,7.438138,2658.6155,21.493868
39,52.35179,2.1873212,226.51778,3.2296636
40,79.016174,5.0090303,393.34192,9.256095
41,144.31427,11.780184,616.5447,21.03188
42,94.24841,5.0212865,334.95618,6.645174
43,348.7645,7.0076585,1887.1615,18.466774
44,105.107956,5.543285,598.0458,10.3508005
45,48.462494,3.9917185,170.64929,6.1895256
46,67.5759,2.5859833,245.88533,3.8165634
47,255.10696,5.1426425,1608.5333,14.747655
48,76.32288,3.2143197,542.584,6.922845
49,97.99801,3.044843,506.59366,5.719792
50,41.37082,2.5579052,139.51169,2.8780746
51,686.5327,8.852442,2819.701,25.146162
52,47.060066,2.2520225,250.72578,3.463098
53,85.94803,2.652228,366.0965,4.2625413
54,19.595829,2.800668,54.853058,3.2055218
55,235.18216,5.3120036,2325.3496,19.816416
56,111.74476,4.6937966,881.6874,11.471599
57,155.56604,3.4721997,706.66724,7.305801
58,133.76552,4.8046284,544.6191,8.190864
59,237.1948,4.9994283,1180.8865,11.168426
60,247.96,4.277591,1198.4973,9.453203
61,78.0154,3.7627597,351.62723,6.344024
62,100.65926,3.1664212,326.8669,4.5703707
63,977.6914,11.068874,3240.3162,26.743849
64,301.35492,4.3387012,1409.6531,11.364569
65,325.92438,6.011911,1403.5123,13.98847
66,21.975424,4.0420184,71.56974,5.374511
