# ID , Name ,logM SMBB , low err logM , up err logM ,T SMBB , low err T, up err T, beta SMBB , low err beta , up err  
0,JINGLE0,7.249171,0.049093,0.048967,27.92428,1.89623,2.063342,1.173001,0.162226,0.196173
1,JINGLE1,7.664138,0.068612,0.078232,24.334824,2.54921,2.406498,0.912953,0.251458,0.261634
2,JINGLE2,7.222179,0.133331,0.152015,20.693404,3.645545,3.919803,1.15274,0.437767,0.581958
3,JINGLE3,7.149927,0.041192,0.03858,28.57331,1.826948,1.844778,1.511015,0.150022,0.165459
4,JINGLE4,7.633991,0.041856,0.03926,24.498475,1.472933,1.645112,1.571329,0.185441,0.181979
5,JINGLE5,7.912412,0.043355,0.040346,24.398566,1.475031,1.462616,1.515906,0.151619,0.162207
6,JINGLE6,7.400451,0.095809,0.119903,21.513332,2.799372,2.736474,1.291455,0.269597,0.305445
7,JINGLE7,7.496571,0.050138,0.050045,23.837486,1.599393,1.53954,1.374831,0.16756,0.193419
8,JINGLE8,7.28955,0.060516,0.061068,25.763878,2.074357,2.228986,1.239457,0.22713,0.237303
9,JINGLE9,7.598058,0.050749,0.05502,23.756049,1.66462,1.74425,1.339045,0.181925,0.199273
10,JINGLE10,7.8914,0.043965,0.04045,26.083415,1.422905,1.602031,1.271126,0.137332,0.137614
11,JINGLE11,7.885213,0.059679,0.060864,21.066166,1.481989,1.57351,1.561517,0.172854,0.193967
12,JINGLE12,7.51161,0.064906,0.067394,20.687331,1.70934,1.893993,1.789912,0.240055,0.266819
13,JINGLE13,7.09046,0.059343,0.06006,25.598131,2.066129,2.116238,1.143578,0.204489,0.240227
14,JINGLE14,7.342597,0.041878,0.042611,24.592823,1.266899,1.411264,1.38567,0.141659,0.151712
15,JINGLE15,7.664257,0.048163,0.046986,24.55474,1.666694,1.688134,1.648116,0.18492,0.222535
16,JINGLE16,7.621669,0.055868,0.05782,25.809677,1.85112,2.070274,1.226128,0.187245,0.183639
17,JINGLE17,7.257166,0.06146,0.058648,24.930056,2.084952,2.159784,1.445031,0.23282,0.275313
18,JINGLE18,7.352477,0.080254,0.084189,23.766675,2.276812,2.414955,1.192236,0.230337,0.27282
19,JINGLE19,7.980559,0.053129,0.05721,21.35258,1.559827,1.606451,1.70367,0.217968,0.256851
20,JINGLE20,7.613971,0.057755,0.05882,23.90533,1.78055,2.009324,1.295505,0.213719,0.209435
21,JINGLE21,7.784099,0.09253,0.11387,20.117082,2.453608,2.343827,1.424329,0.268678,0.318944
22,JINGLE22,8.20409,0.052244,0.054491,19.44948,1.258035,1.327657,1.965976,0.191143,0.205723
23,JINGLE23,7.8891,0.041981,0.046049,22.526899,1.345259,1.312259,1.708115,0.162358,0.181239
24,JINGLE24,7.35736,0.083017,0.081747,25.535226,2.409888,2.542305,1.159025,0.227201,0.253868
25,JINGLE25,7.858458,0.041291,0.038988,23.107411,1.427036,1.453355,1.928187,0.172982,0.210192
26,JINGLE26,7.554006,0.043172,0.044711,27.694745,1.678298,1.975122,1.517659,0.170451,0.176281
27,JINGLE27,7.880678,0.054527,0.0635,29.377272,2.398387,2.5887,0.553824,0.169234,0.169757
28,JINGLE28,7.912884,0.043325,0.044977,24.191477,1.526298,1.708384,1.285213,0.181723,0.180065
29,JINGLE29,7.412792,0.050726,0.049654,23.841096,1.921448,2.081555,1.682453,0.249006,0.308333
30,JINGLE30,7.486271,0.063812,0.06373,25.199784,2.169202,2.335455,1.226907,0.233865,0.250728
31,JINGLE31,7.455993,0.050501,0.050778,26.533996,1.828818,2.044156,1.296516,0.208369,0.203717
32,JINGLE32,7.467816,0.058804,0.057004,27.244967,2.115542,2.384102,1.247353,0.221761,0.221479
33,JINGLE33,7.516784,0.036407,0.033935,29.033732,1.645075,1.849025,1.550447,0.134687,0.124309
34,JINGLE34,7.808976,0.044985,0.045413,26.303269,1.778273,2.081163,1.143977,0.188325,0.190436
35,JINGLE35,7.710154,0.038869,0.039051,24.294868,1.586565,1.600989,1.721205,0.199093,0.241742
36,JINGLE36,7.394598,0.044733,0.044374,24.574289,1.545762,1.646234,1.374986,0.182609,0.193843
37,JINGLE37,7.805853,0.039634,0.037123,25.823227,1.574407,1.757208,1.855018,0.187589,0.190882
