,SDSS9,JINGLEID,IDNUM,SDSSID,OBJID,SPECOBJID,PLATE,MJD,FIBERID,RA,DEC,Z,Z_ERR,DL,AGNCLASS,N2HA,O3HB,Z_PP04_N2,Z_PP04_O3N2,Z_MZR,LOGMSTAR,LOGMSTAR_MAGPHYS,LOGMSTAR_MAGPHYS_ERR,LOGMSTAR_GRASIL,LOGMSTAR_WISE,LOGMSTAR_WISE_ERR,LOGMSTAR_CHANG,LOGMSTAR_CHANG_ERR,LOGMSTAR_MPAJHU,LOGMSTAR_MPAJHU_ERR,LOGMSTAR_BC03,LOGMSTAR_BC03_ERR,LOGMUST,CINDEX,AXISRATIO,INCL,PETRORAD_KPC,PETROR50_KPC,RE_R,LOGSFR_MPAJHU,LOGSFR_MPAJHU_ERR,LOGSFR_CHANG,LOGSFR_CHANG_ERR,LOGSFR_IRNUV,LOGSFR_IRNUV_ERR,LOGSFR_IRFUV,LOGSFR_IRFUV_ERR,LOGSFR_MAGPHYS,LOGSFR_MAGPHYS_ERR,LOGSFR_GRASIL,LOGSFR_NUVCE01,LOGSFR_NUVCE01_ERR,LOGSFR_NUVJRM,LOGSFR_NUVJRM_ERR,LOGSFR_FUVCE01,LOGSFR_FUVCE01_ERR,LOGSFR_FUVJRM,LOGSFR_FUVJRM_ERR,AIRX,FUVK,LOGL12UM,LOGMHALO_TEMPEL14,GROUPRANK_TEMPEL14,GROUPCLASS,MORPH_ZOO,MORPH_JINGLE,MORPH_TEMPEL14,DETFLAG_850,F850,F850ERR,SN850,F850_CORR,F850ERR_CORR,LOGL850,LOGL850ERR,F850_BEAM,LOGL850_BEAM,LOGL850ERR_BEAM,SN850_BEAM,LOGLIR_GRASIL,LOGLIR_MAGPHYS,LOGMDUST_GRASIL,LOGMDUST_MAGPHYS,FLAG_RXA,CO_APCOR,RMS_CO21,ICO21,FLAG_CO,LOGLCO21,LOGLCO21_ERR,SNCO21,ALPHACO_A17,ALPHACO_MW,LOGMH2,LOGMH2_ERR,LOGMH2_PRED,FIRST_FLUX,FIRST_FLUX_ERR,HIREFERENCE,HIFLAG,LOGMHI,LOGMHIMS,BDec,BDecerr,HA SNR,HB SNR,logMDust,logMDust uperr,logMDust lowerr,MPA LBdec,MPA LBdec err
1,J131453.43+270029.2,JINGLE1  ,1,5087-301-4-0297-0146,1237667323262337170,2525520273415890944,2243,53794,461,198.722639,27.008122,0.01544,2e-05,66.912605,1,-0.35718197,-0.51072335,8.791088,8.779133,8.673042,10.016986,9.947,0.101500034,9.97391,10.142771,0.048626136,10.03,0.07999992,10.043023,0.09332371,10.101792,0.21738687,8.403769,2.7754252,0.29573196,74.46066,5.6984563,2.602321,11.190955,-0.4654099,0.32845712,-1.028,0.69,-99.0,-99.0,-99.0,-99.0,-0.658,0.125,-0.5525036,-0.7695511,0.10218693,-0.49485004,0.013571703,-0.69897,0.08685889,-0.43179828,0.011737688,-99.0,,8.769834,0.0,1,1,1,1,1,1,0.0808,0.009,9.1,0.0807,0.009,7.5984,0.048434325,0.0139,6.8345413,0.0906082,4.793103,9.637131,9.603361,7.180169,7.162266,0,0.78395545,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34,0.0,0.0,1,1,9.667171,-0.34981537,0.3034529387950897,0.03459278121590614,27.79965591430664,9.244450569152832,7.664138,0.068612,0.07823200000000001,0.6727067472476351,0.04996932136225021
2,J131526.03+330926.0,JINGLE2  ,2,4552-301-1-0178-0089,1237665023836422233,2356557497344485376,2093,53818,178,198.858476,33.157243,0.01624,1e-05,70.42222,1,-0.56122214,-0.2811329,8.571015,8.640371,8.433424,9.211739,9.117,0.12249994,9.264536,9.536376,0.050284564,9.3,0.09500027,9.252992,0.08477926,9.498134,0.15212767,8.019039,2.5706415,0.3919807,68.10168,3.4393213,1.595519,6.303867,-0.71136993,0.26656628,-1.073,0.20499998,-0.7028721,0.0124217495,-0.7795165,0.014955422,-0.748,0.060000002,-0.34211713,-0.7212464,0.045715205,-0.65757734,0.019740658,-0.88605666,0.100221805,-0.79588,0.027143406,0.29785857,3.1794915,8.177848,0.0,1,1,1,1,1,1,0.004,0.0033,2.7,0.0036,0.0033,6.2922325,0.39810327,0.0028,6.1830883,0.23265776,1.8666667,9.362065,9.122216,5.509137,6.7182527,0,0.9021818,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0,0,0.0,0.0,0.46371206641197205,0.025011267513036728,45.77421951293945,20.27791404724121,7.222179,0.133331,0.152015,0.5029713485867033,0.02214520520940748
3,J125606.09+274041.1,JINGLE3  ,3,5087-301-5-0269-0032,1237667323797372960,2523206632364599296,2241,54169,236,194.025406,27.678102,0.01648,1e-05,71.47591,1,-0.6900256,-0.14765847,8.464044,8.556442,8.396603,9.013969,9.002,0.012500286,9.205822,-99.0,-99.0,9.04,0.089999676,9.147975,0.07844734,9.160111,0.12066311,8.086906,2.4448354,0.61474437,52.70031,2.227903,1.1071371,3.8301306,-0.1143399,0.16340692,-0.003,0.11750001,-0.44092262,0.011926893,-0.5888498,0.01977349,0.047,0.015000001,0.016070344,-0.060480744,0.054910794,-0.040958595,0.028634802,-0.10790541,0.066814534,-0.08618615,0.042370193,-99.0,2.2722871,8.964196,15.114897,185,3,1,1,1,1,0.005,0.0025,2.0,0.0032,0.0025,6.25398,0.33929256,0.0078000003,6.640925,0.1726042,2.5161293,9.936237,9.998434,6.5437655,6.4937367,2,0.95117426,0.0024,0.754,1,7.8418055,0.14350338,3.1191697,8.089106,4.35,8.577205,0.14350338,8.31,0.9732143,0.15179257,0,0,0.0,0.0,0.6051928997039795,0.020554015412926674,52.50883483886719,35.56088638305664,7.149927000000001,0.041192,0.03858,0.5860076245433838,0.013578643496432147
4,J132134.91+261816.8,JINGLE4  ,4,5087-301-3-0308-0090,1237667322726187098,2526595320926726144,2244,53795,276,200.395485,26.304666,0.01652,1e-05,71.651566,1,-0.4686196,-0.7629779,8.662473,8.824194,8.652569,9.891478,9.862,0.049999714,9.947737,10.120858,0.048024047,9.92,0.09000015,9.918494,0.09135723,10.011584,0.2545824,8.923497,2.6330194,0.39433008,67.94655,2.7261834,1.3043505,5.041723,-0.1873299,0.13445514,-0.138,0.14500001,-0.15385081,0.0024014185,-0.17026305,0.0020211441,-0.258,0.022500008,-0.041497957,-0.08092192,0.020929854,-0.22184873,0.08685889,-0.050610002,0.024398567,-0.19382003,0.09500192,2.4679077,5.4025087,9.17272,0.0,1,1,1,1,1,1,0.0456,0.0104,5.0,0.0423,0.0105,7.3773026,0.10780359,0.0133,6.8748136,0.14367637,3.0227273,9.8464775,10.042182,7.1236,6.9126472,2,0.9329298,0.00368,2.929,1,8.433269,0.07720025,6.299575,2.8607738,4.35,9.168669,0.07720025,9.07,1.7066667,0.14644323,1,1,9.229498,-0.6619797,0.5276443958282471,0.02094310335814953,65.98861694335938,27.2591552734375,7.633991,0.041856,0.03926,0.7186412352764165,0.024436880139021344
5,J091728.99-003714.1,JINGLE5  ,5,756-301-2-0157-0220 ,1237648720676061404,531437158335014912,472,51955,45,139.370821,-0.620583,0.01658,1e-05,71.91506,1,-0.52396005,-0.6295607,8.606244,8.763792,8.678795,10.101729,9.972,0.06500006,9.97854,10.302042,0.04852217,10.11,0.089999676,10.140841,0.08608675,10.169633,0.20450857,8.243875,2.593228,0.23684108,78.48243,7.093128,3.0791447,13.994206,0.0765201,0.21940023,-0.003,0.1225,-0.0041824994,0.0036246555,-0.051194586,0.0059633036,0.007,0.015000001,-0.072799176,0.117271274,0.029837029,0.053078443,0.011529942,0.120573945,0.032901097,0.045322984,0.0117376875,1.4658042,4.4043922,9.257108,12.529651,2,3,1,1,1,1,0.0586,0.013,10.6,0.0573,0.013,7.5123053,0.09853103,0.0234,7.1233664,0.05567878,7.7999997,10.10036,10.180126,7.623942,7.2833014,1,0.72477186,0.00452,3.269161,1,8.484148,0.08563424,5.54871,3.364458,4.35,9.219547,0.08563424,9.18,7.0985365,0.15584488,2,3,9.676168,-0.42556095,0.6168943643569946,0.02425139583647251,85.47159576416016,26.64484977722168,7.912412,0.043355,0.040346,0.7431896054283539,0.02042713153792001
6,J132320.14+320349.0,JINGLE6  ,6,4623-301-5-0260-0110,1237665330931957870,2369063343169234944,2104,53852,618,200.833956,32.063614,0.01672,1e-05,72.52999,1,-0.5032589,-0.34031978,8.626717,8.677859,8.550383,9.44026,9.492,0.08249998,9.553126,9.846829,0.050605632,9.44,0.11000013,9.421581,0.088804245,9.648354,0.1470383,7.9043093,2.2451944,0.43154153,65.47963,6.0022173,2.6836753,10.840116,-0.6794399,0.37716955,-0.773,0.14500001,-0.46863008,0.0119520435,-0.5318002,0.015734859,-0.543,0.040000007,-0.05352129,-0.537602,0.044927016,-0.43179828,0.011737688,-0.69897,0.065144174,-0.537602,0.014975673,0.27011123,2.9433017,8.418866,13.004935,2,3,1,1,1,1,0.0107,0.0042,4.8,0.01,0.0042,6.761546,0.18240368,0.0073,6.624869,0.08923859,4.866667,9.6506605,9.38739,5.797727,6.9534216,0,0.7737199,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55,0.0,0.0,0,0,0.0,0.0,0.4947360157966614,0.04400992393493652,34.67584228515625,11.883243560791016,7.4004509999999994,0.095809,0.119903,0.5837961776346698,0.0309828362137432
7,J132051.75+312159.8,JINGLE7  ,7,4623-301-3-0257-0223,1237665329858019551,2369046850494818304,2104,53852,558,200.215627,31.366615,0.01684,1e-05,73.05715,1,-0.5333261,-0.37193203,8.597195,8.678353,8.566666,9.571686,9.547,0.035000324,9.497984,9.911655,0.04864943,9.64,0.08499956,9.711075,0.09044981,9.672677,0.1494405,8.00459,2.4365504,0.21728855,79.8864,5.128579,2.291622,10.33067,-0.3018499,0.25157636,-0.388,0.114999995,-0.46240464,0.005464606,-0.5330039,0.00656109,-0.583,0.054999992,-0.2764211,-0.28399667,0.025055451,-0.35654733,0.009870329,-0.30103,0.03474356,-0.38721615,0.010592548,0.9182134,3.970165,8.722944,12.39794,4,3,1,1,1,1,0.0187,0.0044,5.0,0.0185,0.0044,7.035008,0.10329166,0.0093,6.736319,0.093396656,4.65,9.795145,9.60455,6.6107354,6.9559283,2,0.81341183,0.00111,0.615,1,7.7721615,0.08196601,5.850012,4.4398694,4.35,8.507561,0.08196601,8.86,0.0,0.0,0,0,0.0,0.0,0.5969957709312439,0.021243585273623466,66.71873474121094,30.98511505126953,7.496571,0.050138,0.050045,0.6130487939983948,0.020474009960238064
9,J131547.11+315047.1,JINGLE9  ,9,4623-301-4-0250-0019,1237665330394431507,2369006718320404480,2104,53852,412,198.946297,31.846422,0.01698,1e-05,73.67232,1,-0.5015668,-0.36039492,8.628419,8.684825,8.652569,9.614121,9.862,0.18249989,9.806715,-99.0,-99.0,9.66,0.09000015,9.639616,0.0741806,9.887344,0.14434981,8.313323,2.3616817,0.54235905,57.923233,5.8685784,2.7330706,9.956504,-0.112179905,0.42264485,-0.078,0.1125,-0.1294708,0.014253216,-0.25838178,0.0199892,0.407,0.23,0.24527454,0.033423774,0.024127468,-0.0132282525,0.0134317875,-0.07572073,0.031021034,-0.14874166,0.01835047,-99.0,,8.792494,10.554576,1,2,1,1,1,1,0.0266,0.006,5.8,0.0263,0.006,7.195075,0.09907859,0.0113,6.828198,0.07302296,5.9473686,10.187021,9.743901,6.7656226,6.9982157,1,0.78130466,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,0.0,0.0,0,0,0.0,0.0,0.4869545102119446,0.03196130692958832,31.40616798400879,17.423282623291016,7.598058,0.050749,0.055020000000000006,0.5615968909916422,0.023361836688643983
10,J091750.80-001642.5,JINGLE10 ,10,1239-301-3-0128-0022,1237650795680235542,531444030282688512,472,51955,70,139.461683,-0.278478,0.01748,1e-05,75.87037,1,-0.35910407,-0.33469853,8.788684,8.72219,8.7609825,10.708185,10.45,0.05499983,10.434718,10.576582,0.049872328,10.43,0.09499979,10.414928,0.0933218,10.700804,0.23019625,8.521574,2.409141,0.3158134,73.12531,7.98294,3.6434793,13.821321,0.058550093,0.15152003,0.162,0.1775,-0.0074682888,0.0056801876,-0.08015431,0.005833652,0.007,0.0125,0.07101979,0.19312458,0.03062333,0.11394334,0.013362907,0.18752071,0.036661223,0.096910015,0.013897423,1.0038104,5.0345545,9.254648,12.529651,1,2,1,1,1,1,0.0658,0.0094,11.7,0.0601,0.0094,7.57953,0.06792626,0.0207,7.1166253,0.050352983,8.625,10.186347,10.268109,7.637556,7.3334475,1,0.71630484,0.0029473,2.454353,1,8.405769,0.06483336,7.9340577,3.7470574,4.35,9.141169,0.06483336,9.32,3.1639023,0.14779262,2,3,9.788902,-0.9192829,0.5236889719963074,0.02289293333888054,70.08931732177734,24.200822830200195,7.8914,0.043965,0.04045,0.7958391432520288,0.02333489899026245
12,J132251.07+314934.3,JINGLE12 ,12,4599-301-4-0190-0107,1237665227311284331,2369062518535514112,2104,53852,615,200.712807,31.826221,0.01782,1e-05,77.36597,1,-0.57002485,-0.24015824,8.562989,8.624442,8.51697,9.438959,9.382,0.047500134,9.487259,9.863949,0.04920887,9.41,0.11500025,9.42823,0.0718503,9.65205,0.14214386,7.6181703,2.146775,0.4439915,64.64873,6.4949665,3.0778203,12.026217,-0.42042992,0.32567286,-0.403,0.11750001,-0.23340164,0.008571177,-0.3379496,0.012585063,-0.323,0.017499998,-0.060260296,-0.29242983,0.04257789,-0.22184873,0.014476482,-0.43179828,0.07042613,-0.3187588,0.018095603,0.3598932,2.8745694,8.653212,0.0,1,1,1,1,1,1,0.0058,0.0039,3.1,0.0048,0.0039,6.498852,0.35286424,0.0046,6.4803686,0.13217658,3.2857144,9.973729,9.679155,6.6602645,6.937568,2,0.7390395,0.00139,0.222,2,7.5097637,0.0,2.22,5.728604,4.35,8.245163,0.0,8.85,0.0,0.0,0,0,0.0,0.0,0.49313679337501526,0.04081390053033829,23.209653854370117,14.151347160339355,7.511610000000001,0.06490599999999999,0.06739400000000001,0.5158905878972508,0.022588585455627423
