# HRS index,objID,ra,dec,run,rerun,camcol,field,type,expAB_r
1,123766753908300,154.4153895575,22.8100306149,5137,301,6,275,GALAXY,0.4436126
2,123766720998087,155.2380190205,25.3649526699,5061,301,1,271,GALAXY,0.7007998
3,123766829229690,163.7026431868,17.6212427681,5313,301,1,31,GALAXY,0.9742142
4,123766773503381,155.8773540231,19.8651974906,5183,301,3,167,GALAXY,0.6819978
5,123766778282318,156.6177815649,20.2279086157,5194,301,4,287,GALAXY,0.1826985
6,123766728781234,156.7550447982,28.6391811521,5079,301,2,45,GALAXY,0.1710622
7,123766728781234,156.8266993775,28.5074347687,5079,301,2,45,GALAXY,0.5741784
8,123766728888641,157.3330859675,29.4918243509,5079,301,4,50,GALAXY,0.4767743
9,123766725561621,158.2310241356,28.5117456289,5071,301,6,291,GALAXY,0.8338382
10,123766487995646,158.624226918,35.2567607711,4518,301,5,200,GALAXY,0.6594508
11,123766754926880,158.6970626305,21.6482697427,5140,301,1,50,GALAXY,0.3790506
12,123766720998238,158.925111931,26.1257994846,5061,301,1,294,GALAXY,0.6361151
13,123766466897353,159.0677013752,37.3246859782,4469,301,4,312,GALAXY,0.6221374
14,123766754926900,159.233491642,21.8820940834,5140,301,1,53,GALAXY,0.5953861
15,123766106978969,160.5314131212,13.7469969883,3631,301,4,293,GALAXY,0.6235374
16,123766413316555,160.9121138716,14.8718602407,4344,301,6,147,GALAXY,0.7312608
17,123766829229611,161.7668844257,17.2736135328,5313,301,1,19,GALAXY,0.6227771
18,123766721213130,162.0507408027,28.6017850708,5061,301,5,316,GALAXY,0.5778315
19,123766481820628,162.1034057005,34.711406278,4504,301,2,47,GALAXY,0.7134244
20,123766512853575,162.4586860684,32.982851803,4576,301,4,323,GALAXY,0.7562648
21,123766721105776,162.8161519684,27.8487881502,5061,301,3,319,GALAXY,0.2064248
22,123766725400730,162.8175355149,27.9751019569,5071,301,3,317,GALAXY,0.7632431
23,123766501631164,162.9429027872,32.9002154539,4550,301,3,47,GALAXY,0.1854239
24,123766501631171,163.04752468,32.9504140896,4550,301,3,48,GALAXY,0.5464336
25,123766754980751,163.1490035071,22.9341476617,5140,301,2,78,GALAXY,0.4135893
26,123766481766973,163.1597547781,34.4831446954,4504,301,1,52,GALAXY,0.2378509
27,123766512960989,163.2837904121,33.9103638289,4576,301,6,329,GALAXY,0.9282731
29,123766849685049,163.6233013424,17.3439993773,5360,301,6,119,GALAXY,0.1120718
30,123766849685049,163.629533113,17.2847480479,5360,301,6,119,GALAXY,0.5999953
31,123765759192865,163.6640133388,54.3051632654,2821,301,6,121,GALAXY,0.4126519
32,123765761233650,165.7959036443,56.2217729841,2826,301,4,224,GALAXY,0.8692966
33,123766413263045,165.0098563259,14.8416163288,4344,301,5,174,GALAXY,0.759569
34,123766828801425,165.6969352344,17.989345032,5312,301,1,219,GALAXY,0.174501
35,123766858918658,185.9910579366,16.6934328001,5382,301,2,32,GALAXY,0.4370497
36,123766725347154,165.7968439365,27.9723832328,5071,301,2,334,GALAXY,0.5743293
37,123766725347161,166.012266422,28.0367863639,5071,301,2,335,GALAXY,0.7836463
39,123766181280396,166.7639633283,12.0600288338,3804,301,4,63,GALAXY,0.2999211
40,123766181119361,167.4830777883,10.7207542028,3804,301,1,67,GALAXY,0.4910894
41,123766849631571,168.6140366884,17.2599874942,5360,301,5,151,GALAXY,0.2262224
42,123766413209515,168.7758587503,14.7870140202,4344,301,4,198,GALAXY,0.980001
44,123766791487711,169.5718939705,18.8470995456,5225,301,2,38,GALAXY,0.8197104
45,123765761341135,169.8398258269,57.7578150938,2826,301,6,241,GALAXY,0.8686923
46,123766791434037,170.0158748585,18.3568422184,5225,301,1,40,GALAXY,0.6247264
47,123766743064281,170.1325122327,26.9633537307,5112,301,4,393,GALAXY,0.72488
49,123765173736335,170.278519671,3.2348913691,1458,301,5,304,GALAXY,0.733473
50,123766849524282,170.7275813124,16.5900862317,5360,301,3,164,GALAXY,0.6718813
51,123766858650753,170.939731428,17.8186644651,5381,301,5,113,GALAXY,0.4460739
52,123765880042370,170.9815711647,52.9209727152,3103,301,1,100,GALAXY,0.8380587
53,123766181173205,171.1086140967,11.3422184307,3804,301,2,91,GALAXY,0.3686703
54,123766858543399,171.624142856,16.8634172434,5381,301,3,116,GALAXY,0.7792174
55,123766858543412,171.796634132,17.0301609238,5381,301,3,118,GALAXY,0.7184893
56,123766141766553,171.8827703664,56.8770224497,3712,301,4,41,GALAXY,0.3908927
57,123766849578022,171.9331923517,17.2241777249,5360,301,4,172,GALAXY,0.8274699
59,123765849227592,172.1000436407,9.4076237654,3031,301,3,346,GALAXY,0.319502
60,123765785821885,173.4555306641,53.1255232101,2883,301,6,155,GALAXY,0.6354057
61,123765761341234,174.1103042959,58.1913773102,2826,301,6,256,GALAXY,0.2757777
62,123766481821060,174.1390198886,36.4103574652,4504,301,2,113,GALAXY,0.5318762
63,123765880149836,174.2000400371,54.2935477022,3103,301,3,114,GALAXY,0.5607263
64,123767447275504,175.0278659261,58.6130964727,6752,301,1,34,GALAXY,0.2655685
66,123766481821106,175.3277367227,36.5468027474,4504,301,2,120,GALAXY,0.4842303
67,123765759085806,176.0617556822,55.034961404,2821,301,4,169,GALAXY,0.5784677
68,123766512854093,176.6082295405,34.8525069132,4576,301,4,402,GALAXY,0.7705699
69,123766135163165,177.3135427076,56.0845544277,3697,301,1,60,GALAXY,0.6734539
71,123766870247342,178.3067520169,60.6755761073,5408,301,5,140,GALAXY,0.9169468
73,123765762952744,178.4541740667,52.326739651,2830,301,4,393,GALAXY,0.6265582
74,123765759085878,179.11724197,55.1252338202,2821,301,4,180,GALAXY,0.8797604
75,123765759139571,179.1562290043,55.6332193454,2821,301,5,181,GALAXY,0.2931592
76,123765785768349,179.2069485834,53.1602578522,2883,301,5,178,GALAXY,0.5499581
77,123765466867506,180.0984426688,-1.1000935601,2141,301,1,251,GALAXY,0.4614164
78,123766829820209,180.1369136589,20.0739375558,5314,301,4,25,GALAXY,0.8640916
79,123766428938954,180.2941080762,14.1035046359,4381,301,1,64,GALAXY,0.1725561
80,123766181388347,180.3486065534,13.4010189008,3804,301,6,151,GALAXY,0.6148914
81,123765173575726,180.6759981357,1.9768029497,1458,301,2,373,GALAXY,0.9661993
82,123766429207416,180.8998506614,16.0555343422,4381,301,6,68,GALAXY,0.5613343
83,123765175401074,180.917249604,2.6412104696,1462,301,4,371,GALAXY,0.3549094
84,123765849389040,181.0480837321,10.8543945134,3031,301,6,405,GALAXY,0.730697
85,123765861252137,181.5352495729,49.5827070902,3059,301,3,138,GALAXY,0.4128184
86,123765175401113,181.9032814884,2.6923372887,1462,301,4,377,GALAXY,0.316728
87,123767112859399,182.0400860513,10.3789065405,5973,301,4,154,GALAXY,0.5329595
88,123765173683159,182.0462845644,2.8782880173,1458,301,4,382,GALAXY,0.4297908
89,123765849389131,183.193037331,10.8652636177,3031,301,6,419,GALAXY,0.2298147
90,123765175240111,183.2171795739,1.2997016509,1462,301,1,386,GALAXY,0.521859
92,123766428939105,183.7684854043,14.0289723342,4381,301,1,87,GALAXY,0.1828601
93,123766522784186,183.7710316733,33.1973098522,4599,301,5,94,GALAXY,0.8816683
94,123766181334811,183.820021388,13.023979927,3804,301,5,174,GALAXY,0.3040492
95,123765849228103,183.8771215964,9.584884365,3031,301,3,424,GALAXY,0.475398
96,123766106818904,183.9139486084,13.9015028782,3631,301,1,445,GALAXY,0.6099418
97,123766195079099,183.9765560248,13.1495654973,3836,301,5,234,GALAXY,0.6086074
98,123766195079106,184.0965685342,13.3080878359,3836,301,5,235,GALAXY,0.3805757
99,123766195132799,184.2333619652,13.6254132154,3836,301,6,236,GALAXY,0.8608269
100,123766429100186,184.2975661862,15.3239776646,4381,301,4,90,GALAXY,0.615534
101,123766744404466,184.5347195061,28.1753250918,5115,301,5,89,GALAXY,0.6499472
103,123765460694716,184.8426626661,6.0986779375,2126,301,6,438,GALAXY,0.521689
104,123766858972299,184.86950636,17.2304347325,5382,301,3,25,GALAXY,0.6808132
105,123766429046525,184.8773873611,14.8776637345,4381,301,3,94,GALAXY,0.7688594
106,123766197172247,185.03117254,7.6918487266,3841,301,4,135,GALAXY,0.8352822
107,123765512447263,185.0729549099,4.2029531513,2247,301,2,162,GALAXY,0.2695845
108,123765460641042,185.2020739806,5.6399012743,2126,301,5,440,GALAXY,0.2899446
109,123765173790677,185.2593912754,3.7221468939,1458,301,6,404,GALAXY,0.3251837
110,123765862862088,185.324292145,11.510386109,3063,301,1,37,GALAXY,0.3770801
111,123766106926337,185.3864931863,14.606139247,3631,301,3,454,GALAXY,0.8951812
112,123765460587368,185.4227416194,5.384820952,2126,301,4,442,GALAXY,0.4211669
113,123766106926337,185.4271196663,14.5986530783,3631,301,3,454,GALAXY,0.6788422
115,123765512554657,185.5053460896,5.1000304507,2247,301,4,165,GALAXY,0.3654271
116,123766195025478,185.5150067847,12.7409266762,3836,301,4,244,GALAXY,0.5558411
117,123766223639295,185.5236419263,9.0436226707,3903,301,1,30,GALAXY,0.3352922
118,123765460480000,185.6132036545,4.5650583549,2126,301,2,443,GALAXY,0.7251227
119,123766107033725,185.6306611727,15.5376546375,3631,301,5,456,GALAXY,0.3080513
120,123765862915788,185.6605674951,11.8009090412,3063,301,2,39,GALAXY,0.4339157
121,123765849174494,185.6760016535,9.3324759094,3031,301,2,436,GALAXY,0.2808959
123,123765488072432,185.775728339,5.250352892,2190,301,4,26,GALAXY,0.6189314
124,123765862862107,185.8217479768,11.3675598249,3063,301,1,40,GALAXY,0.2499724
125,123765488179806,185.8955855471,6.0817701997,2190,301,6,26,GALAXY,0.8847633
126,123766858918658,185.8969990439,16.7223401976,5382,301,2,32,GALAXY,0.7723531
127,123766197493694,185.9112174887,6.9540840458,3842,301,2,32,GALAXY,0.4264693
128,123766197118599,185.9521680423,7.1868308172,3841,301,3,141,GALAXY,0.5452265
131,123766197493701,186.0230229727,7.0412766801,3842,301,2,33,GALAXY,0.9208937
132,123766197440014,186.0319337309,6.6066915435,3842,301,1,33,GALAXY,0.7441131
133,123766522569523,186.0463304237,31.5219016803,4599,301,1,107,GALAXY,0.3044133
134,123766197279660,186.0612182968,8.5360765675,3841,301,6,141,GALAXY,0.8006067
