# HRS index,OII,Hbeta,OIII,Halpha,NII,SII,SII,S/N(Ha),SN(Hbeta),C(Hbeta),sigma[C(Hbeta)]
1,0.41,0.17,0.07,1,0.37,0.25,0.17,50.64,11.91,1,0.13
2,0.48,0.22,0.09,1,0.32,0.2,0.14,108.46,31.77,0.64,0.05
4,-,-,-,-,-,-,-,-,-,-,-
5,0.65,0,0,1,0.89,0.62,0.52,12.78,-,-,-
10,0.84,0.28,0.24,1,0.24,0.21,0.14,91.33,34.49,0.28,0.05
11,0.4,0.22,0.12,1,0.27,0.25,0.18,84.19,25.35,0.64,0.06
12,0.86,0.25,0.32,1,0.18,0.24,0.18,97.14,33.1,0.46,0.05
13,0.67,0.2,0.04,1,0.39,0.21,0.16,48.13,12.7,0.79,0.12
16,0.19,0.27,0.09,1,0.34,0.22,0.18,29.71,11.01,0.34,0.14
17,0.57,0.25,0.21,1,0.28,0.18,0.13,60.67,20.61,0.44,0.07
18,0.63,0.26,0.22,1,0.43,0.23,0.17,36.03,12.86,0.4,0.12
19,0.63,0.28,0.09,1,0.29,0.18,0.12,64.43,23.99,0.29,0.07
20,0.98,0.27,0.4,1,0.15,0.15,0.09,47.33,16.93,0.34,0.09
21,0,0.19,0.14,1,0.27,0.33,0.27,25.12,6.51,0.85,0.23
23,0.35,0.14,0.12,1,0.49,0.28,0.22,39.86,7.72,1.3,0.19
24,0.41,0.22,0.07,1,0.41,0.19,0.14,63.23,18.96,0.64,0.08
25,0.35,0.19,0.09,1,0.35,0.21,0.15,83.29,21.02,0.86,0.07
26,0.75,0.2,0.21,1,0.25,0.27,0.2,71.32,19.42,0.79,0.08
27,0.66,0.26,0.16,1,0.28,0.17,0.12,93.56,32.79,0.41,0.05
28,0.57,0.24,0.13,1,0.28,0.2,0.13,97.68,32.07,0.52,0.05
29,0.62,0.23,0.18,1,0.25,0.26,0.2,71.77,22.43,0.56,0.07
30,0.53,0.23,0.12,1,0.31,0.25,0.17,61.59,18.88,0.56,0.08
31,1.09,0.26,0.57,1,0.11,0.16,0.11,66.24,23.26,0.41,0.07
32,-,-,-,-,-,-,-,1.54,0.09,-,-
33,0.54,0.28,0.09,1,0.39,0.24,0.2,38.8,14.53,0.29,0.11
