,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Z,Z err,H alpha flux,H alpha flux error,H beta flux,H beta flux error,BDec,BDec Err,objid,expAB_r,RA,DEC,StarMass,StarMass P16,StarMass P84,SFR,SFR P16,SFR P84,SFR err,SFR FLAG,SFR ENTROPY,GALAXY CLASS,12+LOG OH,12+LOG OH P16,12+LOG OH P84,12+LOG OH err,MDust_MCMC,MH2_MCMC,LCO_MCMC,GasFrac,NUMID,Inclination
2,2,2,11,0.05265866599999999,8.914165000000001e-06,116.86986,2.72231,36.789783,2.2798524,0.5019753,0.009050791228823666,587725084651094140,0.3828035,146.63166999999999,-0.9882778,9.364033000000001,9.294326,9.457407,-0.4310218,-0.6633064999999999,-0.16827413,-0.41579032,0.0,-4.4548540483510255,1,8.771097,8.703315,8.84459,8.7739525,7.460076515674591,8.620550587177277,7.708572793006897,-0.7434821544131662,2,67.49255362448628
6,6,6,74,0.03580908,5.42274e-06,1425.2612,11.805896,355.56284,6.244193,0.6029781,0.002103715000623918,587725074458476803,0.7146334,146.7517,-0.4083915,9.92328,9.845766000000001,10.024163,0.06697539999999999,-0.09200438,0.28657037,0.09728299,0.0,-3.9700564344677383,1,8.869233,8.861778999999997,8.876686999999997,8.869233,7.719653743505478,8.904368489980698,8.146924998760221,-1.0189112823626485,6,44.386836984920684
7,7,7,85,0.04567251,1.5401510000000002e-05,80.99186,3.3642485,16.278933,2.3275464,0.69681543,0.012996794806342755,588848899898016107,0.6554394,146.59448,-0.13317432,9.605917,9.506112,9.714991,-0.38994497,-0.72364855,-0.08835217,-0.40600038,0.0,-4.800406593801808,1,8.551200999999999,8.19825,8.711358,8.454803,7.960815657973289,9.168051361441613,8.55417897105217,-0.4378656090443842,7,49.04702400904245
9,9,9,107,0.052288897,4.5935917e-06,1346.1255,11.599166,278.8475,5.588854,0.6837188,0.0019626794315774567,587725074458345621,0.6431477,146.35204,-0.3326912,10.322678999999999,10.230316,10.412336,0.5073285,0.4053524000000001,0.61972153,0.512537,0.0,-3.1838118096007784,1,9.051352,9.04363,9.059072500000001,9.051352,7.927157317399978,9.131249829530717,8.497339594364167,-1.1914287531369658,9,49.97306197226781
12,12,12,111,0.021744836,4.8436095e-06,2362.6782,18.00305,663.3417400000002,8.727516,0.5516673000000001,0.001853863396001836,587725074995150921,0.2782027,146.30086,0.035479628,9.369798,9.286100999999999,9.486284,-0.2555555,-0.37931988,-0.071311295,-0.22531559,0.0,-3.7054015640506415,1,8.728324,8.714813000000001,8.738258,8.726536,7.587784891724588,8.760185037255287,7.924235965013504,-0.6096126491338449,12,73.84703452524624
14,14,14,115,0.0524687,7.3532483000000005e-06,1058.6881,9.361775999999999,225.47372000000001,5.5205417,0.6716721,0.0024078066667795363,587725074458345628,0.613647,146.36539,-0.34351528,10.395403,10.300837,10.491713,0.23249711,0.11395895,0.35784876,0.23590386,0.0,-3.4099238305224664,1,8.973409,8.949511,8.993864,8.971687,7.896197311878204,9.097398617267608,8.445056939125061,-1.298004290455554,14,52.146325445709216
16,16,16,119,0.0536029,6.669304e-06,374.83905,4.507264,82.36267,2.9631950000000002,0.6581144,0.0036198845970204117,587725074458345647,0.2141418,146.39902,-0.35038266,9.644127000000001,9.553312,9.744029,-0.06208846,-0.19486223,0.12519377,-0.03483423,0.0,-3.7962719184620863,1,8.854637,8.819371,8.872592,8.845982000000003,7.861353940367699,9.05930139005184,8.386216381788254,-0.5848255206044957,16,77.63481652238892
18,18,18,160,0.021652099999999997,1.2926904999999999e-05,98.33821,2.4941561,26.337265000000002,2.3880165,0.5721516,0.010951119105087212,587725073921147022,0.8944019,145.64786999999995,-0.7717634,9.256276,9.191234,9.348593,-0.5675601,-0.82941157,-0.29449978,-0.5619557,0.0,-4.5914845665819435,1,8.608455000000001,8.532862,8.706453999999999,8.619657499999999,7.6404296153783795,8.817745999693871,8.013137949705124,-0.4385301285786453,18,26.56829120741523
19,19,19,217,0.035902377,1.0755409e-05,145.28638,2.7991266,32.66684,2.2893019,0.6481178000000001,0.007097145684055295,587725074457886934,0.8225051,145.39106999999996,-0.41559586,9.719899,9.627875,9.820985,-0.7164986,-0.96729153,-0.44668663,-0.70698905,0.0,-4.4880966127288895,1,8.911185000000003,8.844913499999997,8.941403,8.893158,7.835662696361543,9.031210963726043,8.342831168174744,-0.6886881973130162,19,34.66364415267235
20,20,20,237,0.051949725,9.802191e-06,388.73517000000004,4.900247599999998,103.43026,3.0091784,0.57500625,0.0036638422566669725,587725074457886881,0.4514703,145.3206,-0.25286138,10.078827,9.995394000000001,10.174486,0.002631589,-0.19674984,0.26575002,0.034500092,0.0,-4.250315173368242,1,8.994775,8.984531,9.046742,9.015636,7.647766053676605,8.82576755285263,8.025527110099793,-1.2530593682255529,20,63.161943930802295
