,Unnamed: 0,Unnamed: 0.1,Z,Z err,H alpha flux,H alpha flux error,H beta flux,H beta flux error,BDec,BDec Err,objid,expAB_r,RA,DEC,StarMass,StarMass P16,StarMass P84,SFR,SFR P16,SFR P84,SFR err,SFR FLAG,SFR ENTROPY,GALAXY CLASS,12+LOG OH,12+LOG OH P16,12+LOG OH P84,12+LOG OH err,EB-V,NUMID,Inclination
0,2,11,0.052658665999999986,8.914165000000001e-06,116.86986,2.72231,36.789783,2.2798524,0.5019753,0.009050791228823666,587725084651094140,0.38280349999999996,146.63167,-0.9882778,9.364033,9.294326,9.457407,-0.4310218,-0.6633064999999999,-0.16827413,-0.41579032,0.0,-4.4548540483510255,1,8.771097,8.703315,8.84459,8.7739525,0.052312326,2,67.49255362448628
1,6,74,0.03580908,5.42274e-06,1425.2612,11.805896,355.56284,6.244193,0.6029781,0.002103715000623918,587725074458476803,0.7146334,146.7517,-0.4083915,9.92328,9.845766,10.024163,0.06697539999999999,-0.09200438,0.28657037,0.09728299,0.0,-3.970056434467738,1,8.869233,8.861778999999997,8.876686999999997,8.869233,0.13385412,6,44.386836984920684
2,7,85,0.04567251,1.5401510000000002e-05,80.99186,3.3642485,16.278933,2.3275464,0.69681543,0.012996794806342755,588848899898016107,0.6554394,146.59448,-0.13317432,9.605917,9.506112,9.714991,-0.38994497,-0.72364855,-0.08835217,-0.40600038,0.0,-4.800406593801808,1,8.551200999999999,8.19825,8.711358,8.454803,0.15924883,7,49.04702400904245
3,9,107,0.052288897,4.5935917e-06,1346.1255,11.599166,278.8475,5.588854,0.6837188,0.0019626794315774567,587725074458345621,0.6431477,146.35204,-0.3326912,10.322679,10.230316,10.412336,0.5073285,0.4053524000000001,0.61972153,0.512537,0.0,-3.1838118096007784,1,9.051352,9.04363,9.0590725,9.051352,0.1215488,9,49.97306197226781
4,12,111,0.021744836,4.8436095e-06,2362.6782,18.00305,663.3417400000002,8.727516,0.5516673000000001,0.001853863396001836,587725074995150921,0.2782027,146.30086,0.035479628,9.369798,9.286101,9.486284,-0.2555555,-0.37931988,-0.071311295,-0.22531559,0.0,-3.7054015640506415,1,8.728324,8.714813000000001,8.738258,8.726536,0.16412702,12,73.84703452524624
5,14,115,0.0524687,7.3532483e-06,1058.6881,9.361776,225.47372,5.5205417,0.6716721,0.0024078066667795363,587725074458345628,0.613647,146.36539,-0.34351528,10.395403,10.300837,10.491713,0.23249711,0.11395895,0.35784876,0.23590386,0.0,-3.4099238305224664,1,8.973409,8.949511,8.993864,8.971687,0.11938918,14,52.146325445709216
6,16,119,0.0536029,6.669304e-06,374.83905,4.507264,82.36267,2.963195,0.6581144,0.0036198845970204117,587725074458345647,0.21414179999999997,146.39902,-0.35038266,9.644127,9.553312,9.744029,-0.06208846,-0.19486223,0.12519377,-0.03483423,0.0,-3.7962719184620863,1,8.854637,8.819371,8.872592,8.845982000000003,0.1187105,16,77.63481652238892
7,18,160,0.0216521,1.2926905e-05,98.33821,2.4941561,26.337265,2.3880165,0.5721516,0.010951119105087212,587725073921147022,0.8944019,145.64786999999995,-0.7717634,9.256276,9.191234,9.348593,-0.5675601,-0.82941157,-0.29449978,-0.5619557,0.0,-4.591484566581944,1,8.608455000000001,8.532862,8.706453999999999,8.619657499999999,0.05444766,18,26.56829120741523
8,19,217,0.035902377,1.0755409e-05,145.28638,2.7991266,32.66684,2.2893019,0.6481178000000001,0.007097145684055295,587725074457886934,0.8225051,145.39106999999996,-0.41559586,9.719899,9.627875,9.820985,-0.7164986,-0.96729153,-0.44668663,-0.70698905,0.0,-4.4880966127288895,1,8.911185000000003,8.844913499999997,8.941403,8.893158,0.061438415,19,34.66364415267235
9,20,237,0.051949725,9.802191e-06,388.73517,4.900247599999998,103.43026,3.0091784,0.57500625,0.0036638422566669725,587725074457886881,0.45147029999999994,145.3206,-0.25286138,10.078827,9.995394,10.174486,0.002631589,-0.19674984,0.26575002,0.034500092,0.0,-4.250315173368242,1,8.994775,8.984531,9.046742,9.015636,0.059733413,20,63.161943930802295
10,24,284,0.05736921,7.870426e-06,395.27145,5.4045205,106.19719,3.657849,0.5707824,0.0043240422106123055,587727942421381271,0.7617793,145.61283999999995,0.972333,9.6397085,9.566728,9.73378,-0.2104132,-0.35997018,-0.02838814,-0.19417916,0.0,-3.8475859461899766,1,8.920814,8.857509,8.93497,8.896239,0.13281155,24,40.378690873407876
11,25,290,0.045764346,7.728495e-06,618.82434,8.272484,122.88224,4.517942,0.7020783,0.003373799693228417,588848900434493571,0.24680729999999998,145.59402,0.30938426,10.506879,10.409809,10.605873,0.25939090000000004,0.10253003,0.42535427,0.26394215,0.0,-3.783338176663625,1,9.083578,9.041261,9.095087,9.068174,0.10117704,25,75.71133526799898
12,26,314,0.037452683,6.037618e-06,691.8965,7.2237678,223.95676,5.0571413,0.48987696,0.003497179734342529,588848900971561170,0.1824845,146.01225,0.7656381999999999,9.420764,9.328509,9.548104,-0.3397628,-0.5107594,-0.098429255,-0.30459434,0.0,-4.110424388070991,1,8.906366,8.890785000000003,8.916606,8.903696,0.10894657,26,79.4854915309333
13,27,317,0.03797853,7.4656728e-06,989.9269,9.621374,211.89413,5.1666217,0.66948414,0.0024401059952885683,588848900971495648,0.5599994,145.99263,0.78807765,10.115498,10.025619,10.205879,0.44354555,0.33709013,0.5624739000000001,0.449782,0.0,-3.2074994477507044,1,9.116127,9.104528,9.151893,9.12821,0.11056583,27,55.94424375141647
14,28,318,0.053288724,9.451189e-06,264.69717,4.540507,64.40751999999999,3.1443272,0.61381274,0.005468165574027144,587727942421512338,0.5729241999999999,145.89355,1.0284222,10.005966,9.924067,10.097341,0.01887262,-0.19530776,0.28125009999999995,0.042971164000000006,0.0,-4.37036768905752,1,8.975528,8.946568,9.012619,8.979593,0.12857258,28,55.0456081171193
15,30,331,0.0367165,1.1537866e-05,234.77463,4.0752573,46.34392,2.891324,0.7046584,0.005551630108245482,587725074994888911,0.6063685000000001,145.72946000000005,0.12689565,10.0747,9.981384,10.169499,-0.2410319,-0.4623528,0.020681867,-0.22083548,0.0,-4.36661868068366,1,9.003538,8.975146,9.0550165,9.015081,0.08589911,30,52.67261746989065
16,34,359,0.030486412,1.5489206e-05,83.7776,2.6239877000000003,19.393522,2.584283,0.6354711999999999,0.013761739918488024,587725075531890854,0.5995223000000001,145.9282,0.53113353,9.561224,9.483791,9.657516,-0.51650155,-0.8773648999999999,-0.22277221,-0.55006856,0.0,-4.860890076556831,1,8.707854,8.5699,8.831512,8.7007065,0.124195755,34,53.16430744097641
17,36,383,0.03735544,6.419891e-06,474.96884000000006,5.3189235,96.96624,3.4712734,0.6900445,0.0033256796590662267,587725075532021901,0.6314614000000001,146.25172,0.506149,9.547788,9.455218,9.639976,-0.33578417,-0.44491667,-0.20651694,-0.3257168,0.0,-3.2515091772495146,1,8.847401,8.830246,8.858317,8.844282000000002,0.1851094,36,50.84197553663517
18,38,387,0.03036829,6.609598e-06,1538.4885,12.570471,317.2462,6.186536299999998,0.68569785,0.0018934726384997008,588848900971757669,0.8196043,146.463,0.63870907,10.077231,9.964128,10.188695,0.28159392,0.16039383,0.4678425,0.31411815,0.0,-3.731479801190172,1,9.069802,9.062854,9.076752,9.069803,0.19364056,38,34.95479773822938
19,39,389,0.04892089,7.182823e-06,483.64987,5.8455324,125.202095,3.5962486000000005,0.5869194999999999,0.003503494583560207,587725074995282097,0.30854790000000004,146.51535,0.1667796,9.786887,9.721808,9.8767805,0.0639536,-0.15345463,0.31243664,0.079491004,0.0,-4.306726740905568,1,8.990029,8.981956,8.998103,8.990029,0.1425276,39,72.0282580216462
20,40,395,0.0575771,1.1145609e-05,166.43811000000005,4.076939,46.825996,3.3916748,0.55076575,0.009342438302393155,587725075532087451,0.5291589,146.40623,0.6041419,9.735503,9.649891,9.832727,-0.26030636,-0.5163755,-0.001898751,-0.25913712,0.0,-4.499938981333312,1,8.896533999999997,8.846681,8.959358,8.903019,0.18370835,40,58.05135731127022
21,41,404,0.026309654,1.0086735e-05,180.26483,4.218096,46.810368,4.0860558,0.58556896,0.010191698511104104,587725076069023912,0.8681329,146.5912,0.8967179,9.078185,8.998403,9.176185,-0.8965559000000001,-1.1206766,-0.6543561999999999,-0.8875164000000001,0.0,-4.333089382876807,1,8.723392,8.658352,8.812063,8.735208,0.16017069,41,29.757609951012235
22,44,430,0.030496923,4.0636296e-06,2121.9568,17.178848000000002,596.6564,7.847881299999999,0.5510122,0.001886068815248416,588848900971888657,0.6049216,146.79908999999995,0.70274156,9.563297,9.471454,9.745326,0.52065223,0.27413803,1.0384616,0.6562998000000001,0.0,-4.736160559395928,1,8.664271000000001,8.648109,8.676178,8.662144,0.14909707,44,52.77679951830237
23,46,477,0.020122617,7.0355604e-06,461.98093,5.4639473,123.462,3.7159011,0.57309073,0.0037532398585858532,588848900971888858,0.2291763,146.84222,0.7408431,9.299947,9.197654,9.400586,-1.1170212,-1.3133879,-0.8914415000000001,-1.1024147,0.0,-4.121480302958908,1,8.784858999999999,8.767213,8.798630000000003,8.782921,0.14184895,46,76.7514180538007
24,47,484,0.020181265,7.4258987e-06,2810.253,20.889275,758.1856700000002,9.614479,0.56896985,0.0017222648718467752,588848900435148906,0.6373125,147.19292,0.27191842,9.37114,9.297097,9.505297,-0.06933863,-0.21087949,0.14037660000000002,-0.035251446,0.0,-3.9125424503015225,1,8.885887,8.869256,8.898844,8.88405,0.07715194,47,50.408289941624744
25,49,497,0.05265425,8.614108999999999e-06,127.30576,2.6408863,38.332256,2.2794886,0.5212837,0.008235883609790941,587725084651094140,0.8832074000000001,146.63167,-0.9882778,9.363875,9.29432,9.457402,-0.41524124,-0.6310036,-0.16437772,-0.39769065,0.0,-4.369647945719658,1,8.688158999999999,8.616378,8.744126,8.680252000000001,0.052312326,49,27.968275803506486
26,50,502,0.055980586,9.574063e-06,195.51971,3.0235918,42.869556,2.5402114,0.6590416,0.005831389402643643,588848899361341651,0.2020772,146.9639,-0.5450026,9.958716,9.864082000000002,10.059008,-0.124197856,-0.38142204,0.13218084,-0.1246206,0.0,-4.4817461371011325,1,9.011528,8.981688,9.038651,9.01017,0.11427519,50,78.34154561721296
27,53,540,0.056561984,1.5132385e-05,74.19983,2.43586,17.677185,2.6966999,0.6229898,0.016145217100431753,587725074458476823,0.26904959999999994,146.78847,-0.31065753,9.404471,9.317533,9.503438,-0.45595223,-0.8784671999999999,-0.15375598,-0.5161116,0.0,-4.893018925100479,1,8.617051,8.373337,8.749314,8.561325,0.14218108,53,74.39227965125704
28,54,568,0.0456523,1.6212982e-05,76.40859,2.839703,15.314866,2.407868,0.69802904,0.014063103935224952,588848899898016107,0.7722498999999999,146.59448,-0.13317432,9.605663,9.505731,9.714461,-0.4878676,-0.9314814,-0.14539486,-0.53843814,0.0,-5.061919385652837,1,8.706560000000001,8.601315,8.808739,8.705027000000001,0.15924883,54,39.4436399539288
29,55,573,0.035808306,5.25862e-06,1311.7883,11.609131,333.1961,5.413537,0.5951638000000001,0.0020408942950238397,587725074458476803,0.42179300000000003,146.7517,-0.4083915,9.92328,9.845766,10.024162,0.049906906,-0.12348130000000003,0.2723215,0.074420094,0.0,-4.028711955358497,1,8.869402000000003,8.862102499999997,8.8767,8.869402000000003,0.13385412,55,65.05216107331962
30,59,603,0.052176386,5.765479299999998e-06,1334.9666,10.9942665,266.44604,5.0480995,0.6998611,0.0017907058014076016,587725074458345621,0.683022,146.35204,-0.3326912,10.319674,10.2286415,10.409889,0.53514236,0.43369904,0.6431064999999999,0.5384028000000001,0.0,-3.138498116900484,1,9.050448,9.043343,9.057553,9.050447,0.1215488,59,46.91975347591885
31,61,606,0.05248393,5.880207e-06,1031.9523,8.5541,218.43716,4.912825,0.6743331,0.002203505499792345,587725074458345628,0.561124,146.36539,-0.34351528,10.395585,10.301133,10.492034,0.214854,0.097874224,0.3412643,0.21956927,0.0,-3.3821139688009576,1,8.991203,8.983174,8.999233,8.991203,0.11938918,61,55.86643447693355
32,62,608,0.053547755,5.4239913e-06,376.7933,4.230413,83.58832,2.9095237000000003,0.65395755,0.0035236743229738092,587725074458345647,0.3764258,146.39902,-0.35038266,9.64341,9.552347,9.743503,-0.09438279,-0.23180032,0.094767354,-0.06851648,0.0,-3.8421040783125844,1,8.824842,8.789956,8.854074,8.822014999999997,0.1187105,62,67.8875365733603
33,63,611,0.021758003,4.8833067e-06,2292.528,16.981102,638.0527,8.117599499999999,0.5554581000000001,0.001779436774045466,587725074995150921,0.3959778,146.30086,0.035479628,9.370238,9.286871,9.486657,-0.25578567,-0.38405177,-0.07664077,-0.23034626,0.0,-3.690540551706118,1,8.728516,8.715656,8.738291,8.726974,0.16412702,63,66.67302909458193
34,65,659,0.021652305,1.0536921e-05,110.73989,2.3810313,33.484234,2.171841,0.5194637,0.008973205605999844,587725073921147022,0.5085805999999999,145.64786999999995,-0.7717634,9.256276,9.191234,9.348593,-0.58771664,-0.86020404,-0.2983423,-0.57927316,0.0,-4.645650544369015,1,8.6178055,8.559778999999999,8.697875999999999,8.628828,0.05444766,65,59.43066960784463
35,66,700,0.035878632,1.2288767e-05,150.16072,2.6133156000000004,33.751644,2.0553718,0.6482614000000001,0.006182532158459329,587725074457886934,0.5213390999999999,145.39106999999996,-0.41559586,9.719369,9.627297,9.820531,-0.6405214,-0.8665216999999998,-0.39084166,-0.62868166,0.0,-4.351076869460023,1,8.905507,8.837011,8.932578,8.884794,0.061438415,66,58.57788138687503
36,67,729,0.05195406,9.549349e-06,390.58606,4.782414,100.75614,3.0121264,0.5884451999999999,0.0036192231374140046,587725074457886881,0.3961982,145.3206,-0.25286138,10.078877,9.995679,10.174514,0.024570908,-0.16295268,0.26770338,0.052375354000000006,0.0,-4.151456597162366,1,9.047571,8.999769,9.056162,9.027966,0.059733413,67,66.65927629869338
37,70,756,0.05720619,1.039262e-05,180.81735,3.342798,41.714134,2.539734,0.6369569,0.0063750481655816356,587727942421250123,0.3630246,145.26324,0.99193054,10.175454,10.083141,10.236811,-0.2370726,-0.4612106,-0.024054868,-0.24263273,0.0,-4.214041621009302,1,9.046956,8.998165,9.073125,9.035645,0.105068475,70,68.71393632748686
38,71,779,0.057359636,7.298914e-06,404.08853,4.6832404,106.46639,3.231663,0.579264,0.0037177945487342377,587727942421381271,0.4291674,145.61283999999995,0.972333,9.639505,9.566569,9.733171,-0.19751225,-0.3369958,-0.018620607,-0.17780821,0.0,-3.783117812493766,1,8.929837,8.920653,8.939021,8.929837,0.13281155,71,64.58526714448807
39,72,790,0.045708895,6.600415000000001e-06,586.3332,6.867763,113.973114,3.8471186,0.71134204,0.003016231219442068,588848900434493571,0.7941872,145.59402,0.30938426,10.506345,10.408372,10.604518,0.21464598,0.07121567,0.37402776,0.22262171,0.0,-3.69326474025922,1,9.056527,9.043276,9.092389,9.067833,0.10117704,72,37.42144808400484
40,73,804,0.03801033,7.362193599999998e-06,993.20013,9.111692,214.10071,4.768551,0.6664187,0.0022550926383827817,588848900971495648,0.679854,145.99263,0.78807765,10.1160145,10.02681,10.206225,0.45659092,0.36161855,0.565474,0.46354628,0.0,-3.0888191772766618,1,9.146013,9.110888,9.155833,9.13336,0.11056583,73,47.16776485797661
41,74,812,0.0374546,6.020544e-06,725.4607,6.2994013,214.13676,3.8811445,0.52992266,0.002576316849726904,588848900971561170,0.9913365,146.01225,0.7656381999999999,9.420765,9.328526,9.548104,-0.31371817,-0.4756531,-0.0707893,-0.2732212,0.0,-4.06789546178466,1,8.884861,8.869093,8.895657,8.882375,0.10894657,74,7.547417279753939
42,75,818,0.053293746,9.387141e-06,267.52823,3.8745182,61.06378,2.786848,0.64158595,0.004746383293852537,587727942421512338,0.41327780000000003,145.89355,1.0284222,10.005995,9.924275,10.09746,0.05375871,-0.14796884,0.29940015,0.07571565,0.0,-4.272224471495472,1,8.954487,8.940673,8.99543,8.968052,0.12857258,75,65.58909192205616
43,78,832,0.036699194,1.0262371e-05,225.36873,3.5042636,49.746693,2.4918277,0.6561294,0.005027885106049975,587725074994888911,0.6731956,145.72946000000005,0.12689565,10.074091,9.981021,10.169084,-0.35639006,-0.57610273,-0.08092093,-0.32851183,0.0,-4.4415337116841735,1,9.01554,8.984416,9.054716,9.019566,0.08589911,78,47.685815543690104
44,79,856,0.030476782,1.2983797e-05,77.748215,2.3790746,23.932966,2.5217443,0.5116939,0.01466821955101272,587725075531890854,0.49184300000000003,145.9282,0.53113353,9.560891,9.483556,9.656876,-0.5679076,-0.95432675,-0.247561,-0.60094386,0.0,-4.971367586291341,1,8.61477,8.522142,8.719208,8.620675,0.124195755,79,60.53821124162982
45,81,874,0.037357356,6.9608177e-06,459.36697,4.8489776,94.31874,3.3057220000000003,0.68756175,0.003263961672657189,587725075532021901,0.3367093,146.25172,0.506149,9.547865,9.455293,9.640102,-0.33517978,-0.46486473,-0.20559195,-0.33522832,0.0,-3.3061897905537685,1,8.845493,8.825772,8.8574705,8.841621,0.1851094,81,70.3234868384471
46,82,877,0.036102064,1.4090509e-05,56.51643000000001,1.9569615,15.247125,2.1754012,0.5689868,0.01720189697226917,588848900971561203,0.1848739,146.08981,0.6598350000000001,9.533856,9.428717,9.642643,-1.2002565,-1.6930328999999995,-0.75714284,-1.2250879,0.0,-5.1660908139046775,1,8.647613,8.564473,8.725228,8.644851,0.122862935,82,79.34621941603758
47,83,890,0.057563934,1.0795879e-05,159.55696,3.2182279,36.799793,2.8530233,0.63707036,0.008024077701992005,587725075532087451,0.29999929999999997,146.40623,0.6041419,9.735383,9.649574,9.832218,-0.2062789,-0.43689504,0.028782373,-0.20405634,0.0,-4.356670499500292,1,8.820269,8.76804,8.86711,8.817575,0.18370835,83,72.54243891988087
48,84,892,0.030323457,6.8440972e-06,1473.6193,11.887375,317.4383,5.8272575999999985,0.666726,0.0018758685874163679,588848900971757669,0.5463529,146.463,0.63870907,10.075816,9.963053,10.187852,0.24697408,0.117779754,0.44254568,0.28016272,0.0,-3.7969489621039645,1,9.069974,9.063156,9.076793,9.069975,0.19364056,84,56.88283534938914
49,85,896,0.04892132,7.800136e-06,507.95798,5.551169,128.04974,3.680076,0.59844905,0.0033661965261975947,587725074995282097,0.7300088,146.51535,0.1667796,9.786887,9.721808,9.8767805,0.08953225599999999,-0.11518148,0.3278226,0.10632056,0.0,-4.273365100293846,1,9.044544,8.991366000000003,9.055209,9.023288,0.1425276,85,43.112868205854575
