dr7objid,dr8objid,objid
587722982286753946,1237648703511658641,1237648703511658641
587722982286753946,1237648703511658641,1237648703511658641
587722982813728907,1237648704038633641,1237648704038633641
587722981735727220,1237648702960631934,1237648702960631934
587722981735727109,1237648702960631814,1237648702960631814
587722953306931828,1237648674531836458,1237648674531836458
587722952772158373,1237648673997062939,1237648673997062939
587722952772158373,1237648673997062939,1237648673997062939
587722982307463836,1237648703532368494,1237648703532368494
587722982307463836,1237648703532368494,1237648703532368494
587722982273974290,1237648703498878993,1237648703498878993
587722982273974290,1237648703498878993,1237648703498878993
587722981750931635,1237648702975836320,1237648702975836320
587722981739987057,1237648702964891775,1237648702964891775
587722981739987057,1237648702964891775,1237648702964891775
587722981736775767,1237648702961680476,1237648702961680476
587722981736317043,1237648702961221744,1237648702961221744
587722953844785495,1237648675069690178,1237648675069690178
587722953844785730,1237648675069689948,1237648675069689948
587722953844130374,1237648675069035049,1237648675069035049
587722953306800583,1237648674531705268,1237648674531705268
587722952768028972,1237648673992933836,1237648673992933836
587722952232075695,1237648673456980400,1237648673456980400
587722952231879177,1237648673456783993,1237648673456783993
587722952231878981,1237648673456783662,1237648673456783662
587722982815760400,1237648704040665167,1237648704040665167
587722982815498402,1237648704040403101,1237648704040403101
587722982815170684,1237648704040075381,1237648704040075381
587722982814122096,1237648704039026849,1237648704039026849
587722982814122096,1237648704039026849,1237648704039026849
587722982286557443,1237648703511462133,1237648703511462133
587722982286557443,1237648703511462133,1237648703511462133
587722982280134771,1237648703505039476,1237648703505039476
587722982280134754,1237648703505039455,1237648703505039455
587722982280069271,1237648703504973980,1237648703504973980
587722982279282858,1237648703504187560,1237648703504187560
587722982277447770,1237648703502352461,1237648703502352461
587722982270501002,1237648703495405690,1237648703495405690
587722981750276247,1237648702975180927,1237648702975180927
587722981750014081,1237648702974918777,1237648702974918777
587722981738872968,1237648702963777679,1237648702963777679
587722981738872968,1237648702963777679,1237648702963777679
587722954379493747,1237648675604398424,1237648675604398424
587722953845047321,1237648675069952021,1237648675069952021
587722953306079499,1237648674530984187,1237648674530984187
587722952772289255,1237648673997193873,1237648673997193873
587722952772289255,1237648673997193873,1237648673997193873
587722952772157791,1237648673997062491,1237648673997062491
587722952772157791,1237648673997062491,1237648673997062491
587722952772092373,1237648673996997574,1237648673996997574
587722982843744825,1237648704068649509,1237648704068649509
587722982843744825,1237648704068649509,1237648704068649509
587722952771633752,1237648673996538374,1237648673996538374
587722952771568327,1237648673996472959,1237648673996472959
587722952768094406,1237648673992999100,1237648673992999100
587722952767635905,1237648673992540336,1237648673992540336
587722952234303618,1237648673459208373,1237648673459208373
587722952233321014,1237648673458225803,1237648673458225803
587722952232731278,1237648673457636009,1237648673457636009
587722952232337872,1237648673457242589,1237648673457242589
587722952232141216,1237648673457045965,1237648673457045965
587722952231944584,1237648673456849311,1237648673456849311
587722952231944584,1237648673456849311,1237648673456849311
587722952231944541,1237648673456849257,1237648673456849257
587722952231944531,1237648673456849247,1237648673456849247
587722952231944212,1237648673456848914,1237648673456848914
587722951697629334,1237648672922534053,1237648672922534053
587722951695794768,1237648672920699725,1237648672920699725
587722951695204870,1237648672920109648,1237648672920109648
587722951695008088,1237648672919912782,1237648672919912782
587722951694942633,1237648672919847337,1237648672919847337
