dr7objid,dr8objid,objid,expAB_r
587722951694614664,1237648672919519366,1237648672919519366,0.1845106
587722951696843369,1237648672921748247,1237648672921748247,0.4123699
587722951696909030,1237648672921813985,1237648672921813985,0.1902631
587722951697563899,1237648672922468549,1237648672922468549,0.877942
587722951697629334,1237648672922534053,1237648672922534053,0.7236168
587722952234566087,1237648673459470810,1237648673459470810,0.233884
587722952234762287,1237648673459667002,1237648673459667002,0.5615323
587722952767635905,1237648673992540336,1237648673992540336,0.7225575
587722952767963568,1237648673992868256,1237648673992868256,0.7642268
587722952768028972,1237648673992933836,1237648673992933836,0.6471197
587722952768225723,1237648673993130415,1237648673993130415,0.6356934
587722952768291087,1237648673993195770,1237648673993195770,0.4760928
587722952769864056,1237648673994768731,1237648673994768731,0.1210178
587722952769929872,1237648673994834517,1237648673994834517,0.1954821
587722952769929972,1237648673994834641,1237648673994834641,0.3942451
587722952771568327,1237648673996472959,1237648673996472959,0.3810028
587722952772092373,1237648673996997574,1237648673996997574,0.4916821
587722952772289255,1237648673997193873,1237648673997193873,0.7211808
587722952772289255,1237648673997193873,1237648673997193873,0.7211808
587722953305424105,1237648674530328779,1237648674530328779,0.6523006
587722953306800583,1237648674531705268,1237648674531705268,0.348709
587722953306931828,1237648674531836458,1237648674531836458,0.3176028
587722953308111579,1237648674533016216,1237648674533016216,0.5615222
587722953309356641,1237648674534261345,1237648674534261345,0.7515508
587722953309356641,1237648674534261345,1237648674534261345,0.7515508
587722953841770855,1237648675066675556,1237648675066675556,0.5421425
587722953842360780,1237648675067265539,1237648675067265539,0.9621584
587722953842426188,1237648675067331235,1237648675067331235,0.3203121
587722953843540446,1237648675068445173,1237648675068445173,0.2279664
587722953844130374,1237648675069035049,1237648675069035049,0.6431477
587722953844589227,1237648675069493953,1237648675069493953,0.2782027
587722954378903951,1237648675603808635,1237648675603808635,0.9089396
587722954378903985,1237648675603808687,1237648675603808687,0.1578891
587722954378969391,1237648675603874096,1237648675603874096,0.384912
587722954379755892,1237648675604660569,1237648675604660569,0.7952909
587722954380149201,1237648675605053923,1237648675605053923,0.6348587
587722954380214799,1237648675605119520,1237648675605119520,0.7875461
587722954380280213,1237648675605184926,1237648675605184926,0.5846826
587722954380345511,1237648675605250186,1237648675605250186,0.8380137
587722954380411361,1237648675605316104,1237648675605316104,0.6678573
587722954380476793,1237648675605381513,1237648675605381513,0.6283943
587722954380870152,1237648675605774871,1237648675605774871,0.777139
587722954381263298,1237648675606167707,1237648675606167707,0.6826208
587722954381263238,1237648675606167925,1237648675606167925,0.4161019
587722954381328955,1237648675606233649,1237648675606233649,0.506784
587722954381525373,1237648675606430099,1237648675606430099,0.9345565
587722954382049888,1237648675606954669,1237648675606954669,0.7086147
587722981742084144,1237648702966988820,1237648702966988820,0.5433497
587722981742936201,1237648702967840884,1237648702967840884,0.593208
587722981747392587,1237648702972297393,1237648702972297393,0.600002
587722981747982465,1237648702972887169,1237648702972887169,0.7202374
587722981749555329,1237648702974460079,1237648702974460079,0.8210098
587722981749555329,1237648702974460079,1237648702974460079,0.8210098
587722981750014081,1237648702974918777,1237648702974918777,0.5653605
587722981750276247,1237648702975180927,1237648702975180927,0.7462473
587722981750931635,1237648702975836320,1237648702975836320,0.4999608
587722981753421997,1237648702978326690,1237648702978326690,0.1619233
587722981753421997,1237648702978326690,1237648702978326690,0.1619233
587722981754339427,1237648702979244132,1237648702979244132,0.451761
587722981755781380,1237648702980686244,1237648702980686244,0.6793214
587722981766070725,1237648702990975434,1237648702990975434,0.6870674
587722981766136087,1237648702991040781,1237648702991040781,0.9037134
587722981766595009,1237648702991499721,1237648702991499721,0.1999496
587722981767119277,1237648702992023956,1237648702992023956,0.7617793
587722981767250131,1237648702992155134,1237648702992155134,0.8864563
587722981767512384,1237648702992417025,1237648702992417025,0.8359929
587722981767578236,1237648702992482660,1237648702992482660,0.6587648
587722981767709051,1237648702992613735,1237648702992613735,0.5279706
587722981767774787,1237648702992679489,1237648702992679489,0.6241705
587722981767774868,1237648702992679581,1237648702992679581,0.4809211
587722981768364664,1237648702993269634,1237648702993269634,0.9332121
587722981768626571,1237648702993531230,1237648702993531230,0.2708416
587722981770134007,1237648702995038674,1237648702995038674,0.6254542
587722981770134007,1237648702995038674,1237648702995038674,0.6254542
587722981770330722,1237648702995235532,1237648702995235532,0.2588714
587722981770461703,1237648702995366464,1237648702995366464,0.30281
587722981770461703,1237648702995366464,1237648702995366464,0.30281
587722982278496424,1237648703503401151,1237648703503401151,0.5599994
587722982278889623,1237648703503794332,1237648703503794332,0.5729242
587722982279020629,1237648703503925274,1237648703503925274,0.7177741
587722982279282858,1237648703504187560,1237648703504187560,0.3790945
587722982279413903,1237648703504318594,1237648703504318594,0.2950691
587722982280069271,1237648703504973980,1237648703504973980,0.5892383
587722982280134754,1237648703505039455,1237648703505039455,0.3407038
587722982280134771,1237648703505039476,1237648703505039476,0.4235041
587722982280462410,1237648703505367099,1237648703505367099,0.7184806
587722982281904263,1237648703506808952,1237648703506808952,0.6833075
587722982282100859,1237648703507005536,1237648703507005536,0.6757438
587722982282952918,1237648703507857597,1237648703507857597,0.9251567
587722982283214886,1237648703508119586,1237648703508119586,0.3352529
587722982283214901,1237648703508119594,1237648703508119594,0.6063685
587722982283411487,1237648703508316188,1237648703508316188,0.7827981
587722982285574295,1237648703510478991,1237648703510478991,0.2546344
