,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ID,SAMPLE,AGCNR,SDSS,OBJID,SPECOBJID,PLATEID,MJD,FIBERID,RA,DEC,Z_SDSS,LUMDIST,INCL,NUVR_GEXT,D25_G,R50_R,R50KPC,R50_Z,R50_NUV,R50_NUV_ERR,R50_SFR,R50_SFR_ERR,MASS,MASS_ERR,MUST,CINDX,SFR_SDSS,SFR_SED,SFR_BEST,SFR_ERR,SFR_CASE,SFR_IR,SFR_IR_ERR,SSFR,DELTAMS_P10,DELTAMS_S16,DELTAMS_W12,DELTAMS_W14,D4000,N2HA,O3HB,BALMER,BALMER_ERR,AGNCLASS,Z_PP04_N2,Z_PP04_O3N2,Z_MZR,Z_FIBER,HISRC,ZHI,W50COR,LOGMHI,LOGMHIMS,HICONF,GROUPID,ENVIRONMENT,NGROUP,LOGMHALO,LOGRNORM,FLAG_CO,XCO,XCO_G12,XCO_A16,XCO_A16_ERR,ICO,ICO_ERR,ICO_COR,ICO_COR_ERR,F_RECOV,LCO,LCO_ERR,LCO_COR,LCO_COR_ERR,RMS_CO,SN_CO,WCO,WCO_FLAG,Z_CO,WCO_TFR,WCO_TFR_ERR,WCO_TFR_FLAG,LOGMH2,LOGMH2_ERR,LIMLOGMH2,MH2_ERR,LOGMH2MS,LOGRMOL,FLAGRMOL,FLAG_CO21,ICO21,ICO21_ERR,ICO21_COR,LCO21,LCO21_ERR,LCO21_COR,RMS_CO21,SN_CO21,WCO21,WCO21_FLAG,Z_CO21,FLAG_APEX,QUAL_APEX,ICO_APEX,LCO_APEX,RMS_APEX,SN_APEX,WCO_APEX,ZCO_APEX,FLAG_IRAS,LIR,IRCOL,FLAG_PACS,WEIGHT,LOGLCO,LOGLCO_COR,LOGLCO_ERR,LOGLCO_COR_ERR,LOGLCO21,LOGLCO21_ERR
0,0,1,6,3261,H,102194,J005532.61+154632.9,587724199887831062,118442276870422528,420,51871,573,13.885879999999998,15.775820000000001,0.037470001727342606,165.0731,35.320576,2.63,22.836,3.03,2.2529042,2.84,4.424238,0.0,5.1913123,0.0,10.078,0.09285116,8.630583,2.54,0.21952009,2.1879939999999998,1.4938315,0.73966026,9,0.9877334999999999,0.0,-9.903698,0.10410178,0.17937708,0.04519741,-0.26475185,0.0,-0.46703643,-0.47325659999999997,0.598592,0.008605635,1,8.664152,8.73199,8.701789999999999,8.993747,3,0.037449,157.0,9.958,-0.12,0.0,63716,1,1,11.7406,-3.655175,1,4.35,4.18286,3.8263276,1.4537233999999999,0.711,0.10057363,0.77847725,0.1605045,0.9133215,279439460.0,43279132.0,305959580.0,63081988.0,0.001957,8.572041,83.279655,2,0.037457053,0.0,0.0,0.0,9.068446,0.17606522,0.0,474608420.0,-1.0095539,-0.8895540000000001,1,1,1.26,0.27440676,1.6720936000000002,155818880.0,33934724.0,206780770.0,0.002363,11.601668,97.93154,1,0.037469999999999996,1,1.0,0.34299999999999997,214841180.0,0.001698,6.002492,55.057359999999996,0.037466083,0,0.0,0.0,0,0.72500116,8.446288000000001,8.485664,0.06726283,0.089541756,8.1926200783882,0.0945820132843327
1,1,2,13,3519,H,827,J011728.11+144215.9,587724198816383056,119286485131198464,423,51821,115,19.36713,14.704429999999999,0.04273999854922295,189.0164,42.636986,3.68,34.2183,5.31,4.475245,4.93,6.8320312,0.0,6.2588672999999995,0.0,10.745,0.09183407,8.7096815,2.2,0.67245007,4.414192,3.0137465,2.1165402,9,2.5055227,0.0,-10.265893,-0.19139296,0.234186,-0.119408265,0.07118185,0.0,-0.3032674,-0.5177128,0.70256805,0.011658779,1,8.861325,8.798622,8.778664,9.136775,3,0.042766000000000005,276.0,9.516,-1.229,0.0,63292,1,1,12.2776,-3.9410508,1,4.35,3.4423175,2.9136189999999997,1.1069613,0.9179999999999999,0.13978146,1.1340383,0.24239086,0.8094964,470659360.0,88531660.0,581422400.0,124274000.0,0.001533,7.7185326000000005,279.04962,1,0.042692732000000004,237.93272000000002,54.807159999999996,0.0,9.228925,0.17775837,0.0,693378700.0,-1.5160753999999999,-0.28707504,1,1,1.38,0.30880842,2.4645824,222625300.0,49817804.0,397593020.0,0.0017289999999999999,9.962760000000001,297.54916000000014,1,0.04274,1,1.0,0.485,396288100.0,0.00172,4.595489,183.03278999999998,0.04289218400000002,0,0.0,0.0,0,0.50134254,8.672707,8.764492,0.08169138,0.09282669,8.347574517707715,0.09718391116255765
2,2,3,23,3962,H,121261,J020359.14+141837.3,587724233720332316,120412726097870848,427,51900,534,30.99645,14.310379999999999,0.04273999854922295,189.0164,57.139874,3.22,46.3311,5.26,4.4331055,4.66,4.448882599999999,0.0,,0.0,10.904000000000002,0.09927559,8.917603999999997,2.94,1.2090901,6.591374000000001,6.3285246,0.32404494,1,3.9395218,0.050019145,-10.102697000000001,-0.012298405,0.51837784,0.092370905,0.3646295,0.0,-0.41983914,-0.77780116,0.69100654,0.006506056999999999,1,8.71614,8.844547,8.7753105,9.215441,3,0.042903,440.0,9.719,-1.185,0.0,112062,1,1,12.3243,-3.64364,1,4.35,3.00972,2.9876294,1.1350797,4.34,0.37082595,5.1856775,0.8951963,0.83692056,2225121800.0,227169460.0,2658701300.0,458967900.0,0.001639,33.321545,292.7664200000001,1,0.042593072999999995,304.93506,7.0361657000000015,1.0,9.899996,0.16912122,0.0,3093211400.0,-1.0040040000000001,0.18099594,1,1,6.66,1.3438932,10.932852,1074409100.0,216800450.0,1763717000.0,0.002211,37.332985,301.81122,1,0.04274,1,1.0,2.38,1944671600.0,0.0017879999999999999,17.270634,288.78064,0.04281383,1,10.754831,0.41079137,0,0.49137273,9.347354,9.424669,0.044338446,0.074971646,9.031169678051434,0.08763443934823509
3,3,4,26,3977,H,122307,J020744.46+140453.7,758882025696526395,0,427,51900,626,31.935290000000002,14.0816,0.032419998198747635,142.29543,74.34823,3.57,34.5455,4.28,2.7701082,3.76,6.465093599999999,0.0,6.299297,0.0,10.262,0.09329891,8.691339,2.61,-0.061169907,0.90996933,0.4356954000000001,0.19332857,1,0.26748914,0.010996098999999999,-10.622817,-0.5966175,-0.43827254,-0.6119792,-0.8257495,0.0,-0.34169784,-0.55251884,0.68793404,0.014192736999999999,1,8.810701,8.797462,8.735611,9.051486,3,0.032482,278.0,9.496,-0.7659999999999999,0.0,112074,1,1,0.0,-99.0,1,4.35,3.4540086000000003,2.727564,1.0362741,0.275,0.07502491,0.30715909999999996,0.09562943,0.8953015,80704770.0,24592500.0,90142560.0,28064550.0,0.001127,3.8339907999999996,187.78691,2,0.032304578,0.0,0.0,0.0,8.390705,0.20313369,0.0,115001304.0,-1.8712952,-1.1052952,1,1,0.413,0.1323088,0.5643897,38137124.0,12217621.0,52116708.0,0.0016239999999999998,3.9958233999999995,189.81339,2,0.03242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.6598229,7.906899,7.95493,0.13233899,0.13521115,7.581347938892871,0.13913071636669008
4,4,5,31,4048,H,122348,J021219.38+133645.6,587724233184378980,120694127976251392,428,51883,514,33.08076,13.612689999999999,0.04137999936938287,182.8206,52.06987,3.45,27.4565,3.75,3.0648756,3.51,5.1241527,0.0,5.0941410000000005,0.0,10.554,0.09423828,8.840442999999997,2.32,0.32211009999999995,2.4102252,1.537299,0.33384159999999996,1,1.0860288999999999,0.031179357,-10.367242,-0.31184179999999995,-0.00094382465,-0.27759925,-0.24022129,0.0,-0.35308996,-0.53816175,0.67492133,0.018859373000000002,1,8.796227,8.789223,8.770508,9.116553,3,0.041399,337.0,9.713,-0.841,0.0,111779,1,1,11.9376,-4.01334,1,4.35,3.5382464,2.9503932,1.1209327,1.08,0.12030423400000001,1.2046702,0.22507791,0.89651096,518687650.0,64447700.0,578562500.0,108097336.0,0.001092,12.900963,272.46317,1,0.041430425,0.0,0.0,0.0,9.23223,0.17194581,0.0,675830000.0,-1.3217697,-0.4807701,1,1,1.16,0.25542575,1.6139703,175295760.0,38599180.0,243898430.0,0.001318,10.855681,304.73395,1,0.04138,1,2.0,0.5670000000000001,433980700.0,0.001285,5.126342,360.17236,0.041451104,0,0.0,0.0,0,0.5326301,8.714906,8.76235,0.053961728,0.08114262,8.243771411639301,0.09562930033213786
5,5,6,37,51563,H,188743,J080442.30+154632.6,587741387273076973,638334468804837376,2267,53713,244,121.17628,15.775739999999999,0.029279999434947968,128.21506000000002,31.198259999999998,3.13,40.9847,5.03,2.9513102000000004,4.23,7.8834257,0.0,8.588882,0.0,10.477,0.093328476,8.889246,2.44,-0.24734989999999998,1.1259475,0.77666676,0.21697894,1,0.5883833,0.015604119,-10.586765,-0.5390656999999999,-0.27098393,-0.5069691,-0.5393383,0.0,-0.4076407,-0.51430553,0.5882103,0.018775264,1,8.730188,8.7641325,8.763779,9.149319,1,0.029604000000000002,115.0,9.61,-0.867,0.0,398047,1,1,11.9532,-4.5467319999999996,1,4.35,3.8076081,3.1360347,1.1914628999999999,1.45,0.18555883,1.7959788,0.35411644,0.8073591999999999,346540220.0,54928844.0,429226800.0,84631440.0,0.001898,10.011655000000001,269.949,2,0.02931552,263.1426,12.150949,1.0,9.129067,0.17410873,0.0,539639400.0,-1.3479326,-0.48093224,1,1,1.12,0.289135,2.0177982,84223830.0,21742910.0,151738110.0,0.002421,6.126253,264.36655,1,0.02928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.6425135999999999,8.539753999999999,8.632686999999999,0.068838455,0.08563064,7.925434986669209,0.11211584457176825
6,6,7,44,25763,H,190007,J090311.24+100907.1,588017678229045279,489431364077092864,1738,53051,535,135.79688000000002,10.15197,0.029619999229907983,129.73662,38.04565,2.2,54.0482,8.08,4.793965,5.22,11.824008000000001,0.0,16.498066,0.0,10.113999999999999,0.092365265,8.333913,2.05,0.35182009999999997,2.4164577,1.6498128,0.6252101999999999,9,0.67427546,0.0,-9.896564999999999,0.11483374,0.20560911,0.072548226,-0.22537220000000002,0.0,-0.45888809999999997,-0.7960472,0.5784075,0.007166561700000002,1,8.672864,8.837891,8.709038,9.156324,0,0.0,0.0,0.0,0.0,0.0,0,-9,0,0.0,0.0,1,4.35,3.068877,2.9791865,1.131872,1.51,0.15541445,2.2868311,0.41601002,0.66030234,369373920.0,57575516.0,559401200.0,101763740.0,0.002466,15.442766,72.8899,1,0.029606152,81.03426,8.557417999999998,0.0,9.221821,0.17094739,0.0,655992700.0,-0.89217925,0.0,0,1,1.15,0.271459,3.0596360000000002,88515330.0,20894160.0,235499730.0,0.0049770000000000005,7.975733999999999,38.91069,1,0.02962,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.6814768,8.567466,8.747724,0.067694895,0.07900489,7.947018492820386,0.10251578333384338
7,7,8,51,20286,H,190957,J095439.45+092640.7,587734948053319844,367833935733850112,1306,52996,15,148.66438,9.44464,0.03455999866127968,151.92783,71.1719,4.11,33.8872,3.88,2.670131,3.59,7.026855499999999,0.0,6.0623435999999975,0.0,10.533,0.10441542,8.949228999999997,2.63,0.5292901,1.8216394,0.99004626,0.22952797,1,1.342776,0.027481187,-10.537345,-0.48404473,-0.18501048,-0.44646814,-0.42736270000000004,0.0,-0.2661595,-0.65426666,0.4357952000000001,0.03328252,1,8.912921,8.854194,8.768864,-99.9,3,0.034717000000000005,392.0,9.463,-1.07,0.0,225140,1,1,0.0,-99.0,1,4.35,2.926006,2.7664237000000003,1.0510378,1.95,0.2500412,2.1488914,0.42405623,0.90744466,651020540.0,91992310.0,717421800.0,141574020.0,0.001907,9.979078999999999,486.78458,1,0.03459173,0.0,0.0,0.0,9.297692999999999,0.17414404,0.0,795824960.0,-1.2353067,-0.16530704,1,1,3.69,0.7674491,4.889717,387630370.0,80619660.0,513659330.0,0.002262,17.52498,401.70044,1,0.03456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.407879,0.34143870000000004,0,0.5326301,8.813595,8.855775,0.06136788,0.08570246,8.588417795743837,0.09032489758456314
8,8,9,55,26221,H,5548,J101638.39+123438.5,587735348025163822,491401729905000448,1745,53061,68,154.15997,12.57738,0.03166000172495842,138.88164,64.881615,3.71,75.4644,7.79,4.9281510000000015,6.72,11.524306,0.0,12.307523,0.0,10.985,0.09841585,8.929789,2.6,0.8252401,3.7457561000000004,3.7055073,0.30836177,1,3.3920426,0.043352845999999993,-10.416152,-0.31765246,0.2700863,-0.18455788,0.115416676,0.0,-0.4398964,-0.61337805,0.8086911999999999,0.013983889,1,8.693591,8.785514,8.769756,9.17192,1,0.031665,482.0,10.08,-0.905,0.0,8279,0,4,13.0817,-0.92916226,1,4.35,3.5768297,3.0315733,1.1517752,7.15,0.5877372,9.611919,1.644088,0.74386805,2000322800.0,221045300.0,2689082600.0,459958980.0,0.001382,52.92527,443.0163,1,0.031580023,457.77367999999996,5.0924225,1.0,9.911272,0.16881782,0.0,3168881700.0,-1.0737275,-0.16872787,1,1,10.1,2.0306140999999998,20.911573,889092500.0,178752830.0,1840823800.0,0.002107,48.710570000000004,448.9698,1,0.03166,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.589668,0.325,0,0.49137273,9.3011,9.429605,0.04799163,0.07428468,8.948946946740485,0.08731528799713195
9,9,10,56,26368,H,202070,J101941.29+125034.7,587738410327408789,491683210007150592,1746,53062,266,154.92207,12.84298,0.03288999944925308,144.40845,78.39695,3.07,57.3274,5.5,3.609292,4.21,,0.0,8.276813,0.0,10.265999999999998,0.09301758,8.585137,2.84,-0.014829901000000001,1.0023844000000002,1.775407,0.26139006,1,1.391485,0.02388262,-10.016702,0.009897888,0.17015058,-0.0051913387,-0.21609497,0.0,-0.35273373,-0.40026674,0.67645776,0.020051582,1,8.796678,8.74521,8.736256,8.984204,1,0.032986,406.0,9.9,-0.366,0.0,340036,1,1,0.0,-99.0,1,4.35,4.024249,3.6157823,1.3737317,1.59,0.20061508,1.8612348,0.36481923,0.8542716,480362720.0,70947940.0,562306750.0,110217320.0,0.001848,10.249202,326.70828,1,0.032877977999999995,223.1578,32.186108000000004,0.0,9.308175,0.17386095,0.0,813940860.0,-0.95782423,-0.59182453,1,1,2.11,0.56636643,3.1969127999999998,200579250.0,53839508.0,303902530.0,0.005252000000000001,5.5858636,239.81957999999997,1,0.032889999999999996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.40497,0.3953271,0,0.6598229,8.681569,8.749972999999999,0.06414381400000001,0.08512573,8.302286003078164,0.116573380510626
